,return,equity,gross,net,beta_exposure,turnover,fees,spread,impact,funding,gross_pnl,n_positions,ic_est
2024-07-27 00:00:00+00:00,0.00216567,1.23671,0.823715,0.199344,0.0131445,0.174095,5.57201e-05,9.34541e-06,7.55095e-06,4.7519e-05,0.00221994,30,0.0221054
2024-07-28 00:00:00+00:00,0.0083248,1.247,0.854692,0.187654,0.00446741,0.214638,6.87103e-05,9.5387e-06,1.32035e-05,-2.74316e-05,0.00842726,30,0.0237989
2024-07-29 00:00:00+00:00,-0.00784095,1.23722,0.87392,0.168067,-0.0133794,0.232728,7.44581e-05,1.71442e-05,1.55884e-05,-6.18982e-05,-0.00767327,29,0.0259174
2024-07-30 00:00:00+00:00,-0.00217054,1.23454,0.855576,0.176167,-0.0117288,0.154356,4.94037e-05,6.63043e-06,6.71035e-06,1.54427e-05,-0.00210137,29.0833,0.0221002
2024-07-31 00:00:00+00:00,0.000951332,1.23571,0.800592,0.141038,-0.0106577,0.243806,7.80357e-05,1.57996e-05,1.44384e-05,2.34925e-05,0.00104868,30,0.0227378
2024-08-01 00:00:00+00:00,0.0086885,1.24645,0.890271,0.125857,-0.0133217,0.786199,0.000251718,4.59869e-05,5.02282e-05,-4.26933e-05,0.00909861,30,0.0235045
2024-08-02 00:00:00+00:00,-0.00474199,1.24054,1.00609,0.109326,-0.0130257,0.556886,0.00017819,7.26864e-05,4.14071e-05,-5.25131e-05,-0.00437908,30,0.0258237
2024-08-03 00:00:00+00:00,0.00913497,1.25187,0.966287,0.113448,-0.00230383,0.648568,0.000207583,3.25412e-05,5.57935e-05,-1.46953e-06,0.00941551,30,0.0264498
2024-08-04 00:00:00+00:00,-0.0083728,1.24139,1.05781,0.0979469,-0.00639496,1.00875,0.000322725,4.3994e-05,6.75976e-05,6.27418e-05,-0.0079999,30,0.028024
2024-08-05 00:00:00+00:00,0.0139584,1.25872,0.840003,0.0722379,0.00156785,1.34613,0.000430912,8.16722e-05,0.000155064,-3.52135e-05,0.0146432,30,0.0255456
2024-08-06 00:00:00+00:00,-0.0168365,1.23752,0.831366,0.105172,0.00315684,0.436755,0.00013971,1.7528e-05,4.27758e-05,7.71846e-05,-0.0168266,30,0.0259548
2024-08-07 00:00:00+00:00,0.00877224,1.24838,0.76478,0.112018,0.00249283,0.266666,8.53632e-05,1.14293e-05,2.23209e-05,0.000147268,0.00873461,29.8333,0.0233543
2024-08-08 00:00:00+00:00,0.0131895,1.26485,0.767045,0.105074,0.00408049,0.392681,0.000125762,1.57202e-05,4.16099e-05,0.000104138,0.0132502,30,0.0236836
2024-08-09 00:00:00+00:00,-0.00199152,1.26233,0.819418,0.0855312,0.000419449,0.188194,6.02218e-05,7.52773e-06,1.44766e-05,6.80534e-05,-0.00195805,30,0.0252155
2024-08-10 00:00:00+00:00,-0.00807163,1.25214,0.851975,0.100647,0.0016338,0.13912,4.45069e-05,5.56337e-06,7.99494e-06,-5.46661e-05,-0.0079724,30,0.024449
2024-08-11 00:00:00+00:00,0.011934,1.26708,0.814555,0.110659,0.00530042,0.293389,9.3913e-05,1.17391e-05,1.37903e-05,3.46833e-05,0.0119645,30,0.0252973
2024-08-12 00:00:00+00:00,-0.0141939,1.2491,0.785983,0.0955,-0.00425904,0.180117,5.76201e-05,1.05662e-05,2.1737e-05,1.65615e-05,-0.0141855,29.8542,0.0245957
2024-08-13 00:00:00+00:00,0.00313523,1.25301,0.768884,0.09169,-0.00786481,0.129588,4.14831e-05,6.0116e-06,1.13939e-05,4.3001e-05,0.00317964,30,0.0224901
2024-08-14 00:00:00+00:00,0.00287164,1.25661,0.755016,0.0888945,-0.0098758,0.0955744,3.0578e-05,5.53344e-06,4.90731e-06,7.13061e-05,0.00285424,30,0.0239902
2024-08-15 00:00:00+00:00,0.00665217,1.26497,0.710923,0.088804,-0.00652646,0.23949,7.66406e-05,1.70879e-05,1.36398e-05,2.97837e-05,0.00672987,30,0.0244661
2024-08-16 00:00:00+00:00,0.0057256,1.27221,0.828799,0.0675413,-0.019761,0.398877,0.000127653,2.18821e-05,2.14227e-05,8.9155e-05,0.0058312,30,0.0290094
2024-08-17 00:00:00+00:00,-0.00289324,1.26853,0.923701,0.0907597,-0.0239098,0.226757,7.25439e-05,1.95567e-05,1.40808e-05,9.33075e-05,-0.00285107,30,0.0299469
2024-08-18 00:00:00+00:00,-0.00170275,1.26637,0.867656,0.114283,-0.0168728,0.13693,4.38114e-05,6.37948e-06,6.22394e-06,0.000141934,-0.00177259,30,0.0290456
2024-08-19 00:00:00+00:00,0.00608522,1.27408,0.809098,0.0985036,-0.0303324,0.480758,0.000153977,2.99597e-05,5.52005e-05,0.000106044,0.00621775,28.8333,0.0287808
2024-08-20 00:00:00+00:00,-0.0083442,1.26345,0.841374,0.121199,-0.0247049,0.132354,4.23503e-05,6.7259e-06,4.22282e-06,0.000108705,-0.00841354,29,0.0291174
2024-08-21 00:00:00+00:00,0.00159124,1.26546,0.899184,0.121948,-0.0231988,0.289978,9.27896e-05,3.25691e-05,1.48101e-05,5.84949e-05,0.00168778,29.875,0.025947
2024-08-22 00:00:00+00:00,-0.00455249,1.2597,0.93402,0.10209,-0.0241086,0.0831159,2.65792e-05,3.36586e-06,4.0927e-06,4.05852e-05,-0.00454918,30,0.0247483
2024-08-23 00:00:00+00:00,-0.00832385,1.24921,0.955224,0.100006,-0.0315846,0.091157,2.91539e-05,6.95861e-06,3.81086e-06,0.000120031,-0.00840689,30,0.0215648
2024-08-24 00:00:00+00:00,-0.00260275,1.24596,0.943007,0.10746,-0.0252107,0.125194,4.00796e-05,8.28587e-06,8.09134e-06,7.50897e-05,-0.00260117,30,0.0172213
2024-08-25 00:00:00+00:00,0.00772726,1.25559,0.827837,0.122233,-0.0248697,0.0781216,2.49927e-05,3.12409e-06,6.49743e-06,4.89666e-05,0.00771606,30,0.0185234
2024-08-26 00:00:00+00:00,0.00944263,1.26744,0.776268,0.157021,-0.0223682,0.365428,0.000116921,4.65052e-05,4.77339e-05,1.49144e-05,0.00960977,28.3125,0.0208739
