kind,sym,tr,reason,ret,kx,entry_basis,ref_hit_bar,ref_h_at_kx_vs_stop,ref_maxh_vs_stop
mark,RE-USDT-SWAP,0,stop,-0.5,50,0.009599309712559956,50.0,0.000991162627827613,0.000991162627827613
mark,RE-USDT-SWAP,1,end,0.1661285114627059,168,-0.0005532248397952522,,,-0.15935544382428457
index,SUNDOG-USDT-SWAP,0,end,0.1688481675392669,168,-0.0006540222367561466,,,-0.33071553228621287
index,SUNDOG-USDT-SWAP,1,end,0.116214335421016,168,0.0,,,-0.3699825479930191
index,SWEAT-USDT-SWAP,0,end,0.187824149223173,168,0.00021873956979967524,,,-0.12446513217967148
index,SWEAT-USDT-SWAP,1,end,0.3097248994149966,168,0.0013188357664408734,,,-0.21010808273334503
index,TRIA-USDT-SWAP,0,end,0.2146788990825687,168,-0.0013742556115436955,,,-0.10122324159021412
index,TRIA-USDT-SWAP,1,end,-0.0160237388724036,168,-0.004725339633786185,,,-0.40091743119266054
mark,TRIA-USDT-SWAP,0,end,0.2146788990825687,168,0.00045892611289577445,,,-0.09785932721712542
mark,TRIA-USDT-SWAP,1,end,-0.0160237388724036,168,0.0,,,-0.40183486238532107
index,ULTI-USDT-SWAP,0,end,0.3187935034802783,168,0.001083926912356814,,,-0.31683423562773916
index,ULTI-USDT-SWAP,1,end,0.1731130304168231,168,0.0005635919594213501,,,-0.40304202113946896
index,UP-USDT-SWAP,0,end,0.2249999999999999,168,-0.000892060660124927,,,-0.04583333333333339
index,UP-USDT-SWAP,1,end,0.2345679012345678,168,-0.002199736031676225,,,-0.3136904761904762
mark,UP-USDT-SWAP,0,end,0.2249999999999999,168,0.0008936550491509543,,,-0.04523809523809541
mark,UP-USDT-SWAP,1,end,0.2345679012345678,168,0.00044111160123505577,,,-0.29940476190476195
index,USELESS-USDT-SWAP,0,end,0.4003470500743679,168,0.001489572989076482,,,-0.30986613782845807
index,USELESS-USDT-SWAP,1,end,0.3838512480896586,168,0.0010198878123406363,,,-0.30986613782845807
mark,USELESS-USDT-SWAP,0,end,0.4003470500743679,168,0.0,,,-0.3080482564865311
mark,USELESS-USDT-SWAP,1,end,0.3838512480896586,168,-0.0002546473134708016,,,-0.3080482564865311
index,UXLINK-USDT-SWAP,0,end,0.3736391912908242,168,0.0007782101167315147,,,-0.2853810264385691
index,UXLINK-USDT-SWAP,1,end,0.2232401157184185,168,0.0,,,-0.4258683255572835
index,X-USDT-SWAP,0,end,0.3006359300476947,168,0.0,,,-0.2930577636459989
index,X-USDT-SWAP,1,end,0.2467465753424658,168,0.0017152658662094034,,,-0.37032326444091146
index,ZENT-USDT-SWAP,0,end,-0.1920311563810663,168,-0.0014956625785222943,,,-0.1603754743359297
index,ZENT-USDT-SWAP,1,end,-0.2072208737864076,168,0.00030349013657060553,,,-0.1603754743359297
index,ZEREBRO-USDT-SWAP,0,stop,-0.5,77,-0.002862595419847347,77.0,0.03880914407230196,0.03880914407230196
index,ZEREBRO-USDT-SWAP,1,stop,-0.1631214444719269,77,-0.0017283950617285049,77.0,0.03880914407230196,0.03880914407230196
index,ZERO-USDT-SWAP,0,end,0.3098415346121769,168,0.0005563282336578101,,,-0.33064590862755994
index,ZERO-USDT-SWAP,1,end,0.0683054982173015,168,0.0024454477050412926,,,-0.44212769900843296
index,ZEUS-USDT-SWAP,0,stop,-0.5,68,-0.04155589757940392,68.0,0.06374695863746949,0.06374695863746949
index,ZEUS-USDT-SWAP,1,end,0.3470306232266902,168,0.0029437739181632505,,,-0.2548674298013892
