,return,equity,gross,net,beta_exposure,turnover,fees,spread,impact,funding,gross_pnl,n_positions,ic_est
2023-12-13 00:00:00+00:00,-4.34637e-05,0.752248,0.00102416,-1.90304e-05,-3.79475e-05,0.120253,3.8481e-05,1.40563e-05,1.62226e-06,8.19976e-07,9.87619e-06,5.89583,0.0279928
2023-12-14 00:00:00+00:00,1.92643e-05,0.752263,0.000771758,-7.4824e-05,-0.00010002,0.108282,3.46503e-05,9.56604e-06,1.45027e-06,4.35062e-07,6.44962e-05,5.4375,0.0290456
2023-12-15 00:00:00+00:00,2.66467e-05,0.752283,0.0011851,-0.000118152,-0.000164724,0.1501,4.80321e-05,1.41282e-05,1.8606e-06,2.98264e-07,9.03698e-05,6.11458,0.0311719
2023-12-16 00:00:00+00:00,-0.000311538,0.752048,0.00104402,-0.00015694,-0.000180389,0.129099,4.13118e-05,1.40812e-05,1.67203e-06,2.32676e-07,-0.000254744,6.375,0.0311506
2023-12-17 00:00:00+00:00,-7.05846e-06,0.752043,0.000975758,-8.98144e-05,-0.00013768,0.114743,3.67178e-05,1.01191e-05,1.3521e-06,2.14719e-07,4.09166e-05,6.45833,0.030542
2023-12-18 00:00:00+00:00,-0.000136086,0.751941,0.00123456,-0.000189853,-0.000182722,0.149347,4.77911e-05,9.81182e-06,2.03188e-06,2.89491e-07,-7.6748e-05,7.40625,0.0295445
2023-12-19 00:00:00+00:00,-7.52514e-05,0.751884,0.00108915,-0.000127191,-0.000188353,0.134725,4.3112e-05,7.1941e-06,1.88061e-06,3.10837e-07,-2.33755e-05,7.41667,0.0279809
2023-12-20 00:00:00+00:00,-7.80005e-06,0.751878,0.000983784,-0.000132458,-0.000182412,0.12234,3.9149e-05,8.41292e-06,1.50834e-06,2.78874e-07,4.09959e-05,7.36458,0.0279294
2023-12-21 00:00:00+00:00,-9.03106e-05,0.75181,0.000759737,-7.66083e-05,-0.00012621,0.102696,3.28627e-05,1.00931e-05,1.14212e-06,2.04143e-07,-4.64198e-05,6.48958,0.0280905
2023-12-22 00:00:00+00:00,-8.83351e-05,0.751744,0.000951213,-0.000103937,-0.000153976,0.120228,3.84729e-05,1.2379e-05,1.35288e-06,8.16469e-07,-3.69471e-05,7.71875,0.0274733
2023-12-23 00:00:00+00:00,-4.38653e-05,0.751711,0.000739006,-0.000146276,-0.000186953,0.0972057,3.11059e-05,1.28739e-05,1.05317e-06,4.88674e-07,6.78606e-07,6.63542,0.0275584
2023-12-24 00:00:00+00:00,-2.54162e-05,0.751692,0.00071453,-0.000164784,-0.00016659,0.0920066,2.94421e-05,6.95701e-06,1.05429e-06,9.23321e-08,1.19454e-05,6.23958,0.026364
2023-12-25 00:00:00+00:00,4.67024e-05,0.751727,0.000745019,-0.000167053,-0.000177465,0.0929781,2.9753e-05,7.9832e-06,1.04582e-06,3.98828e-07,8.50856e-05,6.89583,0.026585
2023-12-26 00:00:00+00:00,-5.97239e-05,0.751682,0.000881244,-0.000220278,-0.000192103,0.10356,3.31392e-05,8.02072e-06,1.18278e-06,7.06372e-07,-1.80875e-05,7.36458,0.0263398
2023-12-27 00:00:00+00:00,-5.11952e-05,0.751644,0.000850906,-7.26776e-05,-2.85439e-05,0.0939029,3.00489e-05,5.32988e-06,1.07141e-06,3.41247e-06,-1.81576e-05,7.25,0.0250467
2023-12-28 00:00:00+00:00,-6.19746e-05,0.751597,0.000758697,-5.08892e-05,-5.06229e-05,0.0902963,2.88948e-05,6.97692e-06,8.31476e-07,2.8583e-06,-2.81305e-05,7.42708,0.0250711
2023-12-29 00:00:00+00:00,3.24024e-06,0.751599,0.000727602,-8.52476e-05,-0.000154743,0.0879485,2.81436e-05,8.96739e-06,8.06886e-07,3.38299e-07,4.08206e-05,7.21875,0.0262346
2023-12-30 00:00:00+00:00,-3.43494e-05,0.751574,0.000690302,-0.000108019,-0.000142043,0.0868556,2.77938e-05,6.64757e-06,7.73795e-07,1.52221e-07,7.13211e-07,6.80208,0.0269908
2023-12-31 00:00:00+00:00,-0.000112684,0.751489,0.000595528,-0.000171624,-0.000181155,0.0793933,2.54059e-05,6.25213e-06,6.79218e-07,-1.48351e-06,-7.88661e-05,6.39583,0.0268531
2024-01-01 00:00:00+00:00,-6.399e-05,0.751441,0.000722971,-0.000112511,-0.000162939,0.0900643,2.88206e-05,6.43422e-06,7.52197e-07,-1.11745e-06,-2.68668e-05,8.33333,0.0260367
2024-01-02 00:00:00+00:00,-3.93811e-06,0.751438,0.000688732,-7.79717e-05,-0.000145746,0.0911846,2.91791e-05,6.89567e-06,8.05411e-07,9.49849e-07,3.19927e-05,7.58333,0.0263139
2024-01-03 00:00:00+00:00,8.56356e-06,0.751444,0.000663003,-9.55663e-05,-0.000108491,0.0754607,2.41475e-05,7.08996e-06,1.3377e-06,2.12471e-07,4.09273e-05,6.89583,0.0266037
2024-01-04 00:00:00+00:00,-3.87215e-05,0.751415,0.000922374,-8.15041e-05,-5.6389e-05,0.10345,3.31041e-05,8.40895e-06,2.15738e-06,1.42098e-07,4.8072e-06,8.5625,0.0277192
2024-01-05 00:00:00+00:00,-1.71153e-05,0.751402,0.000787677,1.03717e-05,-6.37264e-05,0.101308,3.24186e-05,7.65285e-06,1.66735e-06,7.71505e-08,2.4547e-05,8.3125,0.028673
2024-01-06 00:00:00+00:00,-2.9207e-05,0.75138,0.000799617,-1.41428e-05,-7.01349e-05,0.0922607,2.95234e-05,5.87067e-06,1.32609e-06,1.0288e-07,7.41058e-06,7.66667,0.0295768
2024-01-07 00:00:00+00:00,-1.60932e-05,0.751368,0.000669385,-4.07217e-05,-7.88919e-05,0.0797961,2.55348e-05,5.92077e-06,9.60633e-07,-5.37205e-08,1.6377e-05,6.80208,0.0304465
2024-01-08 00:00:00+00:00,-9.66516e-06,0.751361,0.000719474,-8.37987e-05,-6.97257e-05,0.0914405,2.9261e-05,1.01313e-05,1.01662e-06,2.96566e-08,3.07148e-05,6.8125,0.0305086
2024-01-09 00:00:00+00:00,-2.1297e-05,0.751345,0.000610308,-4.91529e-05,-5.98883e-05,0.0775845,2.4827e-05,1.0492e-05,7.80955e-07,4.3045e-08,1.47606e-05,6.75,0.0306459
2024-01-10 00:00:00+00:00,-1.03864e-05,0.751337,0.00044985,-4.35502e-05,-5.05169e-05,0.0595269,1.90486e-05,1.30123e-05,5.69262e-07,2.84275e-08,2.22156e-05,5.69792,0.0310597
2024-01-11 00:00:00+00:00,-3.69578e-05,0.751309,0.000417622,-9.70199e-05,-9.4963e-05,0.0570917,1.82694e-05,1.68148e-05,5.94638e-07,2.1428e-08,-1.30078e-06,5.25,0.0313679
