coin,t,side,sec,okx_basis_bp
ETHUSDT,2025-10-10 21:22:00+00:00,1,90,-7.147
BTCUSDT,2025-10-10 21:27:00+00:00,1,-30,-0.1208
BTCUSDT,2025-10-10 21:27:00+00:00,1,-5,-2.131
BTCUSDT,2025-10-10 21:27:00+00:00,1,-1,-2.579
BTCUSDT,2025-10-10 21:27:00+00:00,1,0,-0.3143
BTCUSDT,2025-10-10 21:27:00+00:00,1,1,-4.022
BTCUSDT,2025-10-10 21:27:00+00:00,1,2,-3.322
BTCUSDT,2025-10-10 21:27:00+00:00,1,5,-4.406
BTCUSDT,2025-10-10 21:27:00+00:00,1,10,-2.345
BTCUSDT,2025-10-10 21:27:00+00:00,1,30,-2.933
BTCUSDT,2025-10-10 21:27:00+00:00,1,60,-7.129
BTCUSDT,2025-10-10 21:27:00+00:00,1,90,-4.147
ETHUSDT,2025-10-10 21:56:00+00:00,-1,-30,-66.82
ETHUSDT,2025-10-10 21:56:00+00:00,-1,-5,-28.21
ETHUSDT,2025-10-10 21:56:00+00:00,-1,-1,-19.89
ETHUSDT,2025-10-10 21:56:00+00:00,-1,0,-15.44
ETHUSDT,2025-10-10 21:56:00+00:00,-1,1,-28.32
ETHUSDT,2025-10-10 21:56:00+00:00,-1,2,-22.64
ETHUSDT,2025-10-10 21:56:00+00:00,-1,5,-74.66
ETHUSDT,2025-10-10 21:56:00+00:00,-1,10,-48.49
ETHUSDT,2025-10-10 21:56:00+00:00,-1,30,-16.47
ETHUSDT,2025-10-10 21:56:00+00:00,-1,60,-13.5
ETHUSDT,2025-10-10 21:56:00+00:00,-1,90,-7.843
BTCUSDT,2026-08-19 15:27:00+00:00,1,-30,-2.932
BTCUSDT,2026-08-19 15:27:00+00:00,1,-5,45.19
BTCUSDT,2026-08-19 15:27:00+00:00,1,-1,15.24
BTCUSDT,2026-08-19 15:27:00+00:00,1,0,8.842
BTCUSDT,2026-08-19 15:27:00+00:00,1,1,7.833
BTCUSDT,2026-08-19 15:27:00+00:00,1,2,12.03
BTCUSDT,2026-08-19 15:27:00+00:00,1,5,12.75
BTCUSDT,2026-08-19 15:27:00+00:00,1,10,13.9
BTCUSDT,2026-08-19 15:27:00+00:00,1,30,7.327
BTCUSDT,2026-08-19 15:27:00+00:00,1,60,5.73
BTCUSDT,2026-08-19 15:27:00+00:00,1,90,1.813
ETHUSDT,2026-08-19 15:27:00+00:00,1,-30,2.092
ETHUSDT,2026-08-19 15:27:00+00:00,1,-5,3.233
ETHUSDT,2026-08-19 15:27:00+00:00,1,-1,2.008
ETHUSDT,2026-08-19 15:27:00+00:00,1,0,42.62
ETHUSDT,2026-08-19 15:27:00+00:00,1,1,25.97
ETHUSDT,2026-08-19 15:27:00+00:00,1,2,9.757
ETHUSDT,2026-08-19 15:27:00+00:00,1,5,1.431
ETHUSDT,2026-08-19 15:27:00+00:00,1,10,4.671
ETHUSDT,2026-08-19 15:27:00+00:00,1,30,8.945
ETHUSDT,2026-08-19 15:27:00+00:00,1,60,3.499
ETHUSDT,2026-08-19 15:27:00+00:00,1,90,-0.337
