variant,seg,L,trades,cagr,maxdd,liqs,worst_day,sharpe,mean_net_bp,years
okx_native_k60_lat2.0s,OOS,20,17,-0.10879,-0.59399,0,-0.19878,-0.63425,-4.4266,2025:-0.2114;2026:+0.0468
okx_native_k80_lat2.0s,IS,1,8,0.0058942,-0.011447,0,-0.005084,0.76207,22.151,2022:+0.0013;2023:+0.0119;2024:+0.0045
okx_native_k80_lat2.0s,IS,3,8,0.017589,-0.034096,0,-0.015259,0.76156,22.151,2022:+0.0038;2023:+0.0358;2024:+0.0135
okx_native_k80_lat2.0s,IS,5,8,0.029178,-0.056406,0,-0.025434,0.76145,22.151,2022:+0.0059;2023:+0.0599;2024:+0.0225
okx_native_k80_lat2.0s,IS,10,8,0.057668,-0.11072,0,-0.050871,0.76138,22.151,2022:+0.0097;2023:+0.1214;2024:+0.0449
okx_native_k80_lat2.0s,IS,15,8,0.085429,-0.16297,0,-0.076308,0.76135,22.151,2022:+0.0114;2023:+0.1846;2024:+0.0674
okx_native_k80_lat2.0s,IS,20,8,0.11241,-0.2132,0,-0.10175,0.76134,22.151,2022:+0.0110;2023:+0.2493;2024:+0.0899
okx_native_k80_lat2.0s,OOS,1,8,-0.00022701,-0.032333,0,-0.0075839,-0.023801,-0.41345,2025:-0.0004;2026:+0.0000
okx_native_k80_lat2.0s,OOS,3,8,-0.00090072,-0.095911,0,-0.022848,-0.024482,-0.41345,2025:-0.0015;2026:+0.0000
okx_native_k80_lat2.0s,OOS,5,8,-0.0018023,-0.15802,0,-0.038145,-0.023517,-0.41345,2025:-0.0030;2026:+0.0000
okx_native_k80_lat2.0s,OOS,10,8,-0.0050594,-0.30695,0,-0.076496,-0.020169,-0.41345,2025:-0.0084;2026:+0.0000
okx_native_k80_lat2.0s,OOS,15,8,-0.0097596,-0.44701,0,-0.11494,-0.016285,-0.41345,2025:-0.0162;2026:+0.0000
okx_native_k80_lat2.0s,OOS,20,8,-0.015914,-0.57841,0,-0.1534,-0.012015,-0.41345,2025:-0.0264;2026:+0.0000
okx_native_k120_lat2.0s,IS,1,4,0.006603,-0.005125,0,-0.0004693,0.96663,49.534,2022:-0.0005;2023:+0.0133;2024:+0.0071
okx_native_k120_lat2.0s,IS,3,4,0.019788,-0.015375,0,-0.0014102,0.96658,49.534,2022:-0.0014;2023:+0.0400;2024:+0.0212
okx_native_k120_lat2.0s,IS,5,4,0.03296,-0.025625,0,-0.0023511,0.96657,49.534,2022:-0.0024;2023:+0.0671;2024:+0.0353
okx_native_k120_lat2.0s,IS,10,4,0.065839,-0.05125,0,-0.0047033,0.96656,49.534,2022:-0.0047;2023:+0.1363;2024:+0.0706
okx_native_k120_lat2.0s,IS,15,4,0.098644,-0.076875,0,-0.0070555,0.96656,49.534,2022:-0.0071;2023:+0.2075;2024:+0.1060
okx_native_k120_lat2.0s,IS,20,4,0.13138,-0.1025,0,-0.0094077,0.96656,49.534,2022:-0.0094;2023:+0.2810;2024:+0.1413
okx_native_k120_lat2.0s,OOS,1,2,0.0023097,-0.022237,0,0,0.77481,19.305,2025:+0.0038;2026:+0.0000
okx_native_k120_lat2.0s,OOS,3,2,0.0068567,-0.066711,0,0,0.77481,19.305,2025:+0.0114;2026:+0.0000
okx_native_k120_lat2.0s,OOS,5,2,0.011326,-0.11118,0,0,0.77481,19.305,2025:+0.0189;2026:+0.0000
okx_native_k120_lat2.0s,OOS,10,2,0.022165,-0.22237,0,0,0.77481,19.305,2025:+0.0372;2026:+0.0000
okx_native_k120_lat2.0s,OOS,15,2,0.032535,-0.33356,0,0,0.77481,19.305,2025:+0.0547;2026:+0.0000
okx_native_k120_lat2.0s,OOS,20,2,0.042444,-0.44474,0,0,0.77481,19.305,2025:+0.0716;2026:+0.0000
okx_native_k40_lat10.0s,IS,1,58,-0.035366,-0.11103,0,-0.013574,-2.4528,-18.589,2022:-0.0803;2023:-0.0072;2024:-0.0169
okx_native_k40_lat10.0s,IS,3,58,-0.1031,-0.29958,0,-0.040525,-2.4622,-18.589,2022:-0.2230;2023:-0.0220;2024:-0.0506
okx_native_k40_lat10.0s,IS,5,58,-0.16654,-0.44959,0,-0.067196,-2.4673,-18.589,2022:-0.3443;2023:-0.0367;2024:-0.0833
okx_native_k40_lat10.0s,IS,10,58,-0.30795,-0.70238,0,-0.13265,-2.4783,-18.589,2022:-0.5735;2023:-0.0734;2024:-0.1613
