per,asset,con,side,ts,why,lastprem_bp,markprem_bp,F_last_vs_mark_bp,P_last_vs_mark_bp,qv,basis_gap_bp
IS,ETH,ETHUSDT_240628,out,2024-05-30 23:00:00,signal,87.34148840783939,87.03791084366364,0.32764441541432987,0.02668552443685357,27847.79835,0.3035775641757539
IS,ETH,ETHUSDT_240927,in,2024-06-23 08:00:00,signal,306.77364648206583,305.99123262752715,0.524136284407728,-0.23502937744224184,16919.42947,0.7824138545386745
IS,ETH,ETHUSDT_240927,out,2024-08-05 02:00:00,signal,57.46372438403702,61.12443797763767,-12.155829130473528,-8.5204556477525,1026132.94547,-3.660713593600647
IS,ETH,ETHUSDT_241227,in,2024-08-06 16:00:00,signal,324.7832069120027,324.61692462977254,2.4217215133592873,2.260630914325823,260250.2218,0.1662822822301564
IS,ETH,ETHUSDT_241227,out,2024-10-01 16:00:00,signal,140.39962633987102,141.61730837197518,-3.549793578360161,-2.3493973168997595,81353.66345,-1.2176820321041646
IS,ETH,ETHUSDT_250328,in,2024-12-15 15:00:00,end,458.3191028778466,457.6454955665188,0.6441290361336449,0.0,86139.49405,0.673607311327828
IS,ETH,ETHUSDT_250328,out,2024-12-31 23:55:00,end,306.2426383981154,306.1108114519606,-0.1190957826213701,-0.24700406187960766,1483.62607,0.1318269461547743
OOS,BTC,BTCUSDT_250328,in,2025-01-01 01:00:00,expiry,329.87321644189825,329.72728400281426,-0.5176940398798902,-0.6589589723637879,37457.0362,0.14593243908399245
OOS,BTC,BTCUSDT_250926,in,2025-03-28 10:00:00,signal,297.87284107487545,297.335061428774,0.522251284329478,0.0,213931.3189,0.5377796461014555
OOS,BTC,BTCUSDT_250926,out,2025-07-15 08:00:00,signal,137.58055032220273,136.88635172745654,0.3234347537950377,-0.3613647840172707,253033.0905,0.6941985947461831
OOS,BTC,BTCUSDT_260327,in,2025-10-13 16:00:00,signal,328.34317134732726,328.44628439323344,-1.2259528499591887,-1.126130058419772,47152.7206,-0.1031130459061842
OOS,BTC,BTCUSDT_260327,out,2025-11-04 16:00:00,signal,176.30871066508956,184.17434156275502,-7.171848759187638,0.5519634890682745,24617.6374,-7.865630897665454
OOS,BTC,BTCUSDT_260327,in,2025-11-29 19:00:00,signal,167.75989702807692,168.21250311135128,-0.43408009645529155,0.011039026270864838,10689.8064,-0.452606083274361
OOS,BTC,BTCUSDT_260327,out,2025-12-22 21:00:00,signal,120.74453284590669,121.99450137032164,-1.2462129358581375,-0.011310950469578529,2503.8374,-1.2499685244149532
OOS,BTC,BTCUSDT_260626,in,2026-02-07 00:00:00,signal,124.9558510214066,124.86489551205126,-3.2407770682207904,-3.3305809488903826,57828.0285,0.09095550935533936
OOS,BTC,BTCUSDT_260626,out,2026-05-17 00:00:00,signal,13.031540420156418,12.538353805480185,0.42749701446131994,-0.06506879467127469,23168.6947,0.49318661467623315
