,return,equity,gross,net,beta_exposure,turnover,fees,spread,impact,funding,gross_pnl,pnl_long,pnl_short,n_positions,stops,ic_est
2024-12-06 00:00:00+00:00,-5.1315e-05,1.05893,0.0852321,0.0131038,0.00373589,0.447842,0.000143309,7.14242e-05,1.01547e-05,-4.23866e-06,0.000179397,0.00175447,-0.00157499,13.2708,0,0.0165592
2024-12-07 00:00:00+00:00,-0.00142668,1.05741,0.102639,0.0087637,-0.00105807,0.388936,0.000124452,4.84616e-05,6.99042e-06,1.47683e-05,-0.00126055,0.000923121,-0.00218393,14.125,0,0.0175926
2024-12-08 00:00:00+00:00,0.000890818,1.05836,0.0661372,0.000285553,-0.00485854,0.254984,8.15964e-05,2.15526e-05,4.70309e-06,1.87288e-05,0.000980157,-0.000110959,0.00109082,9.77083,0,0.0147707
2024-12-09 00:00:00+00:00,-0.000734289,1.05758,0.0655082,0.00783571,0.000134479,0.238876,7.64402e-05,2.03747e-05,4.71438e-06,6.52192e-07,-0.000631541,-0.00464447,0.00401142,8.16667,0,0.014397
2024-12-10 00:00:00+00:00,0.00255843,1.06029,0.108952,0.0120394,0.00411627,0.364082,0.000116512,2.39296e-05,7.91922e-06,-6.71163e-06,0.00271223,0.00168041,0.00103124,12.1875,0,0.0154964
2024-12-11 00:00:00+00:00,0.00420251,1.06474,0.143907,0.0117,0.00406887,0.326206,0.0001044,2.66842e-05,6.61648e-06,4.29145e-07,0.00433361,0.00773585,-0.003403,13.375,0,0.0179649
2024-12-12 00:00:00+00:00,0.00429225,1.06931,0.174964,0.0153316,0.00257811,0.39017,0.000124866,3.30006e-05,7.15038e-06,-5.46658e-06,0.00445686,0.00231288,0.0021436,14.875,0,0.0221067
2024-12-13 00:00:00+00:00,0.0035151,1.07307,0.227806,0.020874,0.00114061,0.611584,0.000195705,2.8838e-05,1.0626e-05,-4.8893e-07,0.0037539,0.00631241,-0.00255856,17.3333,0,0.0257141
2024-12-14 00:00:00+00:00,-0.000476955,1.07256,0.297043,0.0341868,0.00061641,0.510021,0.000163207,2.63932e-05,6.92295e-06,3.3853e-07,-0.000277366,-0.00587469,0.00559779,17.2083,0,0.0290515
2024-12-15 00:00:00+00:00,0.00471255,1.07761,0.290354,0.0346375,0.00133687,0.608686,0.000194799,3.72541e-05,9.3824e-06,1.38931e-05,0.0049333,0.00688316,-0.00194952,17.5417,0,0.0296506
2024-12-16 00:00:00+00:00,0.00477354,1.08276,0.439919,0.0347927,-0.00143209,1.30188,0.00041663,0.000165298,3.13266e-05,-1.69696e-05,0.00540635,-0.000581745,0.00571731,21.7708,0,0.0332554
2024-12-17 00:00:00+00:00,-0.00444789,1.07794,0.353957,0.0314488,-0.00483544,0.987823,0.00031612,0.000326384,2.01905e-05,3.21457e-07,-0.00377943,-0.0046711,0.000891256,19.1875,0,0.0369093
2024-12-18 00:00:00+00:00,-0.000800875,1.07708,0.380211,0.0184425,-0.00312724,1.1446,0.000366274,0.000203228,3.45718e-05,3.02925e-05,-0.000216446,-0.017303,0.0170865,18.0833,0,0.0356303
2024-12-19 00:00:00+00:00,-0.00249932,1.07439,0.416794,-0.00658014,-0.00211263,1.3283,0.000425032,9.51293e-05,4.15148e-05,-2.86851e-05,-0.00190178,-0.0169232,0.0150216,23.3958,0,0.0349759
2024-12-20 00:00:00+00:00,0.00445463,1.07917,0.440477,-0.00548266,-0.0010029,1.18948,0.000380697,7.98415e-05,5.09637e-05,-1.54814e-05,0.00499131,0.0189284,-0.0139358,21.75,0,0.0332177
2024-12-21 00:00:00+00:00,0.00220115,1.08155,0.687101,0.0411715,0.00218618,1.44884,0.000463673,5.82864e-05,4.85341e-05,5.45396e-05,0.002722,-0.0146183,0.01734,24.6042,0,0.0352101
2024-12-22 00:00:00+00:00,0.00269327,1.08446,0.737814,0.0227002,-0.00112023,1.28149,0.000410104,5.1263e-05,3.68945e-05,1.89969e-05,0.00317729,0.000643051,0.00253425,23.7917,0,0.0355332
2024-12-23 00:00:00+00:00,-0.014855,1.06835,0.684758,-0.0134682,-0.0172163,1.90016,0.000607985,7.59982e-05,9.77301e-05,6.60129e-05,-0.0142178,0.0205305,-0.0347726,26.2292,0,0.0365955
2024-12-24 00:00:00+00:00,-0.00511425,1.06289,0.663087,0.0047902,-0.00874094,1.08295,0.000346512,4.3314e-05,2.77588e-05,4.69369e-05,-0.00473196,0.00354686,-0.00827895,24,0,0.0364624
2024-12-25 00:00:00+00:00,0.00427173,1.06743,0.579844,-0.00265368,-0.00718802,1.05096,0.000336346,4.21093e-05,2.19873e-05,3.3944e-05,0.00463928,-0.00325961,0.00789923,23.6667,0,0.0331
2024-12-26 00:00:00+00:00,0.00232581,1.06991,0.513993,-0.0097299,-0.00296622,0.902085,0.00028867,3.60838e-05,1.84804e-05,3.3862e-05,0.00263723,-0.0162362,0.0188738,20.8958,0,0.0334402
2024-12-27 00:00:00+00:00,-0.000466701,1.06941,0.543881,-0.0172348,-0.00526136,1.6158,0.000517046,0.000138361,5.68556e-05,2.05511e-05,0.000230575,0.000476628,-0.000246087,19.3542,0,0.0348858
2024-12-28 00:00:00+00:00,-0.00307014,1.06613,0.405309,-0.0152039,-0.000585384,1.01597,0.000325087,4.82346e-05,2.39205e-05,5.6677e-06,-0.00267714,0.00218902,-0.00486591,20.1042,0,0.0335918
2024-12-29 00:00:00+00:00,0.00489087,1.07134,0.309987,-0.0123341,-0.000427141,0.75352,0.000241151,4.97479e-05,1.37296e-05,7.71254e-06,0.00517946,-0.00378226,0.00896183,17.1667,0,0.0318756
2024-12-30 00:00:00+00:00,-0.00116211,1.0701,0.278423,0.0335817,0.0221941,1.16518,0.000372856,0.000140016,5.34044e-05,0.000204662,-0.000789112,0.000365102,-0.00115676,17.1042,0,0.0301397
2024-12-31 00:00:00+00:00,-0.00320189,1.06667,0.253416,0.0289572,0.00866034,0.56256,0.00018,7.23296e-05,1.30009e-05,2.42626e-05,-0.0029537,-0.00257477,-0.000379022,15.0208,0,0.0289558
2025-01-01 00:00:00+00:00,0.00613263,1.07321,0.311324,0.0405346,0.0102512,0.939453,0.000300672,9.1979e-05,2.39005e-05,3.00906e-05,0.00651128,0.0105003,-0.00398903,17.8333,0,0.0288144
2025-01-02 00:00:00+00:00,0.00321068,1.07666,0.505977,0.062184,0.00719183,1.19496,0.000382424,0.000155601,2.69544e-05,4.68901e-06,0.00377717,0.00919372,-0.0054167,22.2708,0,0.0326006
2025-01-03 00:00:00+00:00,-0.000584457,1.07603,0.624466,0.0390544,0.0137507,1.46116,0.000467543,0.000136892,4.0386e-05,4.90732e-05,2.90412e-05,0.0200385,-0.0200094,23.3958,0,0.0343484
2025-01-04 00:00:00+00:00,-0.00122822,1.07471,0.608623,0.0432645,0.00808759,1.09065,0.000349022,0.000100135,2.7599e-05,0.00015427,-0.000894309,-0.00212032,0.00122597,24.2083,0,0.033481
2025-01-05 00:00:00+00:00,-0.000207667,1.07448,0.481113,0.0382092,0.0134118,0.884042,0.00028289,5.97999e-05,1.732e-05,0.000167022,-9.82889e-06,-0.0030028,0.00299318,23.6667,0,0.030771
2025-01-06 00:00:00+00:00,-0.00465876,1.06948,0.445024,0.112851,0.0234484,1.24451,0.000398178,8.87198e-05,4.48101e-05,0.000200791,-0.00432648,0.000512156,-0.00467203,20.9583,0,0.0311429
2025-01-07 00:00:00+00:00,-0.00306873,1.0662,0.404352,0.0617413,0.0158784,0.833856,0.000266815,5.0978e-05,1.94202e-05,0.000268056,-0.00299421,-0.0191411,0.0161465,18.6875,0,0.031206
