config,cost,scope,mode,L,cagr_IS,cagr_OOS,maxdd_IS,maxdd_OOS,sharpe_IS,sharpe_OOS,worstday_IS,worstday_OOS,liq_IS,liq_OOS,entries_IS,rolls_IS,entries_OOS,rolls_OOS,margin_rebalances_OOS,y2022_fullrun,y2023_fullrun,y2024_fullrun,y2025_fullrun,y2026_fullrun
two_A_mk,maker_fut,BTC,cross,15,86.15,-5.65,-66.5,-28.6,1.48,-0.3,-31.9,-6.9,0,0,29,0,10,0,0,-12.7,171.1,172.8,-15.1,6.9
two_A_mk,maker_fut,BTC,cross,20,111.6,-7.72,-78.0,-36.5,1.48,-0.29,-38.1,-9.0,0,0,29,0,10,0,0,-17.6,241.6,236.7,-19.8,9.1
two_A_mk,maker_fut,BTC+ETH,cross,1,5.73,0.15,-6.4,-1.7,1.45,0.17,-3.0,-0.3,0,0,58,2,20,0,0,-1.2,7.8,11.0,-0.6,0.9
two_A_mk,maker_fut,BTC+ETH,cross,3,17.36,0.43,-17.7,-5.1,1.48,0.18,-8.5,-0.9,0,0,58,2,20,0,0,-3.6,24.1,35.2,-1.9,2.7
two_A_mk,maker_fut,BTC+ETH,cross,5,29.15,0.7,-27.5,-8.5,1.5,0.18,-13.2,-1.5,0,0,58,2,20,0,0,-6.1,41.5,62.2,-3.2,4.5
two_A_mk,maker_fut,BTC+ETH,cross,10,58.93,1.27,-46.8,-16.3,1.54,0.19,-23.0,-3.0,0,0,58,2,20,0,0,-12.7,90.1,141.9,-6.4,9.3
two_A_mk,maker_fut,BTC+ETH,cross,15,88.19,1.7,-60.9,-23.7,1.56,0.19,-30.4,-4.5,0,0,58,2,20,0,0,-19.5,145.9,237.0,-9.7,14.3
two_A_mk,maker_fut,BTC+ETH,cross,20,115.41,1.98,-71.4,-30.5,1.56,0.2,-36.4,-6.0,0,0,58,2,20,0,0,-26.6,208.6,341.4,-12.9,19.6
two_A_mk,maker_fut,ETH,cross,1,5.64,0.65,-6.7,-2.1,1.31,0.58,-2.9,-0.4,0,0,29,2,10,0,0,-1.6,6.1,12.9,-0.2,1.3
two_A_mk,maker_fut,ETH,cross,3,17.18,1.91,-18.7,-6.3,1.35,0.58,-8.1,-1.1,0,0,29,2,10,0,0,-5.0,19.0,42.3,-0.7,3.9
two_A_mk,maker_fut,ETH,cross,5,29.04,3.14,-28.9,-10.3,1.37,0.58,-12.6,-1.9,0,0,29,2,10,0,0,-8.4,32.8,76.6,-1.2,6.6
two_A_mk,maker_fut,ETH,cross,10,59.54,6.05,-48.9,-19.7,1.43,0.58,-21.7,-3.8,0,0,29,2,10,0,0,-17.2,71.4,186.4,-2.8,13.4
two_A_mk,maker_fut,ETH,cross,15,90.18,8.71,-63.3,-28.4,1.46,0.58,-28.6,-5.6,0,0,29,2,10,0,0,-26.3,116.0,332.5,-4.6,20.5
two_A_mk,maker_fut,ETH,cross,20,119.1,11.11,-73.8,-36.2,1.47,0.59,-33.9,-7.4,0,0,29,2,10,0,0,-35.6,166.5,512.9,-6.7,27.8
two_B,base,BTC,cross,1,4.71,1.23,-7.4,-2.0,1.08,0.62,-3.2,-0.6,0,0,38,0,13,0,0,-1.7,7.7,8.6,0.8,1.2
two_B,base,BTC,cross,3,13.74,3.65,-20.8,-6.0,1.08,0.63,-9.0,-1.9,0,0,38,0,13,0,0,-5.1,23.0,26.6,2.0,3.7
two_B,base,BTC,cross,5,22.2,6.0,-32.4,-9.8,1.08,0.64,-14.2,-3.2,0,0,38,0,13,0,0,-8.5,38.4,45.1,3.1,6.3
two_B,base,BTC,cross,10,40.27,11.55,-55.5,-18.9,1.07,0.65,-25.2,-6.5,0,0,38,0,13,0,0,-16.9,75.8,91.3,4.6,12.8
two_B,base,BTC,cross,15,52.89,16.6,-72.2,-27.2,1.04,0.67,-34.0,-9.7,0,0,38,0,13,0,0,-25.0,110.9,130.1,4.7,19.5
two_B,base,BTC,cross,20,58.83,21.11,-83.9,-35.2,1.01,0.68,-41.2,-13.0,0,0,38,0,13,0,0,-32.9,142.3,152.0,3.6,26.4
two_B,base,BTC,cross_stress,1,4.71,1.23,-12.0,-4.6,1.08,0.62,-3.2,-0.6,0,0,38,0,13,0,0,-1.7,7.7,8.6,0.8,1.2
two_B,base,BTC,cross_stress,3,13.74,3.65,-34.4,-13.6,1.08,0.63,-9.0,-1.9,0,0,38,0,13,0,0,-5.1,23.0,26.6,2.0,3.7
two_B,base,BTC,cross_stress,5,22.2,6.0,-55.1,-22.3,1.08,0.64,-14.2,-3.2,0,0,38,0,13,0,0,-8.5,38.4,45.1,3.1,6.3
two_B,base,BTC,cross_stress,10,-100.0,11.55,-100.0,-42.7,-0.74,0.65,-100.0,-6.5,1,0,22,0,13,0,0,-16.9,-100.0,-100.0,-100.0,-100.0
two_B,base,BTC,cross_stress,15,-100.0,16.6,-100.0,-61.2,-1.34,0.67,-100.0,-9.7,1,0,13,0,13,0,0,-100.0,-100.0,-100.0,-100.0,-100.0
two_B,base,BTC,cross_stress,20,-100.0,21.11,-100.0,-77.8,-1.95,0.68,-100.0,-13.0,1,0,10,0,13,0,0,-100.0,-100.0,-100.0,-100.0,-100.0
two_B,base,BTC,isolated,1,4.71,1.23,-12.0,-4.6,1.09,0.62,-3.2,-0.6,1,0,39,0,13,0,0,-1.7,7.7,8.6,0.8,1.2
two_B,base,BTC,isolated,3,4.44,-7.87,-35.0,-24.7,0.39,-0.79,-9.0,-7.6,15,8,48,0,19,0,0,-12.6,10.7,18.2,-1.4,-1.8
two_B,base,BTC,isolated,5,-19.55,-26.45,-66.0,-52.8,-0.47,-1.83,-15.6,-7.8,58,21,85,0,30,0,0,-51.1,65.3,-35.1,-33.4,-21.3
two_B,base,BTC,isolated,10,-99.01,-94.5,-100.0,-99.3,-4.97,-5.22,-34.8,-23.3,227,72,235,0,74,0,0,-99.7,-88.1,-99.7,0.0,0.0
two_B,base,BTC,isolated,15,-99.01,-99.98,-100.0,-100.0,-3.95,-7.07,-58.0,-43.3,137,137,137,0,138,0,0,-100.0,0.0,0.0,0.0,0.0
two_B,base,BTC,isolated,20,-99.03,-99.98,-100.0,-100.0,-3.06,-4.63,-70.9,-64.1,97,91,97,0,91,0,0,-100.0,0.0,0.0,0.0,0.0
two_B,base,BTC,isolated_rb,1,4.54,1.19,-12.0,-4.6,1.05,0.6,-3.2,-0.6,0,0,38,0,13,0,1,-1.8,7.5,8.4,0.7,1.2
