rule,family,L,period,cfg_id,cfg,cagr,maxdd,worst_day,worst_intraday,sharpe,liq,trades,per_year,coin_cagr
S2_bestIS_Sharpe_L1_chosenL,grid,5,OOS,33,"{""g"": 0.02, ""N"": 10, ""centre"": ""ema24"", ""brk"": ""hold""}",-0.5953596107221386,0.8858547996832282,-0.7085998559738271,-0.8083241038724049,-0.6245790407958854,8,15400,"{""2025"": -0.7851, ""2026"": 0.0321}","{""BTC"": 0.1137, ""ETH"": -0.1854, ""SOL"": -1.0, ""XRP"": -1.0, ""DOGE"": -1.0, ""AVAX"": -1.0, ""LINK"": -1.0}"
S2_bestIS_Sharpe_L1,grid,10,IS,33,"{""g"": 0.02, ""N"": 10, ""centre"": ""ema24"", ""brk"": ""hold""}",-0.6697074215794269,0.9877457082363676,-0.6346883823204632,-0.7843530601121995,-0.1604707382893053,49,31659,"{""2022"": -0.88, ""2023"": 0.1175, ""2024"": -0.7316}","{""BTC"": 0.4926, ""ETH"": -1.0, ""SOL"": -1.0, ""XRP"": -1.0, ""DOGE"": -1.0, ""AVAX"": -1.0, ""LINK"": -1.0}"
S2_bestIS_Sharpe_L1,grid,10,OOS,33,"{""g"": 0.02, ""N"": 10, ""centre"": ""ema24"", ""brk"": ""hold""}",-0.8610372989729075,0.9882552402502944,-0.7027689298196839,-0.9006000450220996,-0.8848608846435312,18,13748,"{""2025"": -0.9548, ""2026"": -0.1711}","{""BTC"": 0.1998, ""ETH"": -1.0, ""SOL"": -1.0, ""XRP"": -1.0, ""DOGE"": -1.0, ""AVAX"": -1.0, ""LINK"": -1.0}"
S2_bestIS_Sharpe_L1,grid,15,IS,33,"{""g"": 0.02, ""N"": 10, ""centre"": ""ema24"", ""brk"": ""hold""}",-0.9468579403180742,0.9999702731344996,-0.8077308782066904,-0.949011986000884,-0.4129100093611431,75,26024,"{""2022"": -0.9911, ""2023"": 1.4572, ""2024"": -0.9931}","{""BTC"": 0.5631, ""ETH"": -1.0, ""SOL"": -1.0, ""XRP"": -1.0, ""DOGE"": -1.0, ""AVAX"": -1.0, ""LINK"": -1.0}"
S2_bestIS_Sharpe_L1,grid,15,OOS,33,"{""g"": 0.02, ""N"": 10, ""centre"": ""ema24"", ""brk"": ""hold""}",-0.956687226047802,0.9987357845725964,-0.8383161214758843,-0.9552467051350272,-0.8254724980560001,27,12643,"{""2025"": -0.986, ""2026"": -0.6152}","{""BTC"": 0.2405, ""ETH"": -1.0, ""SOL"": -1.0, ""XRP"": -1.0, ""DOGE"": -1.0, ""AVAX"": -1.0, ""LINK"": -1.0}"
S2_bestIS_Sharpe_L1,grid,20,IS,33,"{""g"": 0.02, ""N"": 10, ""centre"": ""ema24"", ""brk"": ""hold""}",-1.0,1.0,-1.0,-1.0,-0.6219805155952343,99,22519,"{""2022"": -1.0, ""2023"": 0.0, ""2024"": 0.0}","{""BTC"": -1.0, ""ETH"": -1.0, ""SOL"": -1.0, ""XRP"": -1.0, ""DOGE"": -1.0, ""AVAX"": -1.0, ""LINK"": -1.0}"
S2_bestIS_Sharpe_L1,grid,20,OOS,33,"{""g"": 0.02, ""N"": 10, ""centre"": ""ema24"", ""brk"": ""hold""}",-0.9934764000636606,0.9999751009660937,-0.8318438743444182,-0.9878145262052352,-1.1655651093001311,41,10955,"{""2025"": -0.999, ""2026"": -0.7662}","{""BTC"": 0.2142, ""ETH"": -1.0, ""SOL"": -1.0, ""XRP"": -1.0, ""DOGE"": -1.0, ""AVAX"": -1.0, ""LINK"": -1.0}"
S2_bestIS_Sharpe_L1,orb,1,IS,97,"{""session"": ""us"", ""M"": 60, ""stop"": ""opp"", ""tp"": 0, ""filt"": ""narrow""}",0.0452055499807171,0.2081457051653995,-0.0193061088415334,-0.0211677771106841,0.3478076659499212,0,2664,"{""2022"": 0.1664, ""2023"": 0.1152, ""2024"": -0.1222}","{""BTC"": 0.0345, ""ETH"": 0.0945, ""SOL"": 0.1315, ""XRP"": 0.1702, ""DOGE"": -0.0819, ""AVAX"": 0.159, ""LINK"": -0.2535}"
S2_bestIS_Sharpe_L1,orb,1,OOS,97,"{""session"": ""us"", ""M"": 60, ""stop"": ""opp"", ""tp"": 0, ""filt"": ""narrow""}",-0.1235700726967963,0.282700395931131,-0.0194098543210791,-0.0194098543210791,-0.5750103509853951,0,1492,"{""2025"": -0.0036, ""2026"": -0.1942}","{""BTC"": -0.2342, ""ETH"": 0.0346, ""SOL"": -0.1279, ""XRP"": -0.0538, ""DOGE"": -0.1284, ""AVAX"": -0.2116, ""LINK"": -0.1917}"
S2_bestIS_Sharpe_L1_chosenL,orb,3,IS,97,"{""session"": ""us"", ""M"": 60, ""stop"": ""opp"", ""tp"": 0, ""filt"": ""narrow""}",0.0648983134262413,0.5737105333665387,-0.0576364029613809,-0.0635763748610781,0.3573021215391046,0,2664,"{""2022"": 0.4734, ""2023"": 0.2758, ""2024"": -0.3576}","{""BTC"": 0.0357, ""ETH"": 0.1713, ""SOL"": 0.1756, ""XRP"": 0.2486, ""DOGE"": -0.3128, ""AVAX"": 0.2577, ""LINK"": -0.6395}"
S2_bestIS_Sharpe_L1_chosenL,orb,3,OOS,97,"{""session"": ""us"", ""M"": 60, ""stop"": ""opp"", ""tp"": 0, ""filt"": ""narrow""}",-0.3960476827240121,0.666052801329118,-0.0579138852370841,-0.0579138852370841,-0.598579505105943,0,1492,"{""2025"": -0.1412, ""2026"": -0.497}","{""BTC"": -0.5662, ""ETH"": -0.036, ""SOL"": -0.4363, ""XRP"": -0.2904, ""DOGE"": -0.4226, ""AVAX"": -0.6143, ""LINK"": -0.5856}"
