per,sym,dt,d,net_1m,net_1s,net_2s,net_5s,net_10s,net_30s,net_60s
OOS,WLFIUSDT,2025-10-29 18:36:00+00:00,1,-33.947620047419,114.3306589052378,100.26815972563435,51.355330224194745,79.24745025251805,9.804895574028688,-3.9691496121991356
OOS,WLDUSDT,2025-10-29 18:40:00+00:00,1,274.939250689273,360.989953486984,411.81315760652956,330.2425605687262,221.04443295104838,332.6956463955763,286.2849992494962
OOS,TAOUSDT,2025-11-01 13:43:00+00:00,1,30.655412916001,79.0988619958757,40.848487518613496,16.83930258420531,40.848487518613496,40.848487518613496,34.835428052081525
OOS,COAIUSDT,2025-11-01 13:52:00+00:00,1,-581.195496347133,-534.7519242554775,-534.7519242554775,-548.680372237481,-562.5679743309752,-520.7824499171209,-569.4965142765195
OOS,COAIUSDT,2025-11-03 15:30:00+00:00,1,-289.86469146354597,-589.1528232502956,-632.0573022355229,-662.4653310308763,-799.8444611241732,-793.955313875369,-251.13510367750257
OOS,DOGEUSDT,2025-11-03 15:31:00+00:00,1,223.712499174833,494.1695072789467,461.5011076168609,375.5835790402254,276.5865946282667,378.788064078476,240.25931072364864
OOS,LINKUSDT,2025-11-03 15:31:00+00:00,1,248.27080192865301,596.4224559102669,560.9176327644736,517.7645315973609,425.463388848498,410.7047243982752,268.7935203354984
OOS,1000PEPEUSDT,2025-11-03 15:31:00+00:00,1,196.54155045444801,508.46191309087465,497.0618262018106,449.826113916581,384.4047789483423,345.5431090803956,212.6830910120919
OOS,ADAUSDT,2025-11-03 15:31:00+00:00,1,255.38378597863,543.9212647063878,525.9655570406611,470.4917247225208,398.0761399464942,433.1800194670025,269.4585991473023
OOS,COAIUSDT,2025-11-06 14:36:00+00:00,1,122.926903933373,226.84683449294016,190.54658006144183,154.50256272004955,154.50256272004955,166.48893205187406,142.54436346890873
OOS,GIGGLEUSDT,2025-11-14 04:39:00+00:00,1,255.159684296893,289.21706248591596,283.24927611504967,225.4235136609651,218.79306256243467,197.48654886631698,265.38731205241425
OOS,COAIUSDT,2025-11-14 04:39:00+00:00,1,-71.68095809647501,-90.90920171935105,-90.90920171935105,-119.35652492359364,-119.35652492359364,-119.35652492359364,-62.29791699808055
OOS,COAIUSDT,2025-11-20 15:07:00+00:00,1,-550.999556590423,-550.6729789592891,-531.1917507266951,-509.9964154559344,-501.81912487755164,-532.8182479235534,-547.4316653950851
OOS,SUIUSDT,2025-11-21 07:34:00+00:00,1,-22.608199241635,-160.40109162182486,-176.5275905473365,-130.81592876709985,-83.9644858278113,426.71537416247156,18.357864430582353
OOS,1000PEPEUSDT,2025-11-21 07:34:00+00:00,1,180.09822132676203,79.7000818104246,24.796528528709118,144.92303604699023,238.1588391299863,557.3005599144701,218.38835558468355
OOS,TAOUSDT,2025-11-21 07:34:00+00:00,1,-32.389913226155,-82.31864244598226,-106.79273445965661,-1.0458575157714272,106.9816853578918,349.2252663473126,-4.6070925468734885
OOS,LINKUSDT,2025-11-21 07:34:00+00:00,1,187.47580686057998,122.03023814929874,111.18621469812344,167.32426898966918,259.9949596932737,426.5131816866085,208.7759830649515
OOS,GIGGLEUSDT,2025-11-21 07:34:00+00:00,1,188.874710274234,54.85396185419681,44.6541511417156,80.91065570472593,158.9482776022702,454.36669681038575,209.4135511276676
OOS,ZENUSDT,2025-12-01 00:08:00+00:00,1,-228.841820346159,-59.03046052389392,-119.8179653426684,-258.81019050335294,-249.01175695968226,-317.1904884664439,-209.62047372161726
OOS,MMTUSDT,2025-12-03 15:04:00+00:00,1,-547.978536076452,-336.55922609112065,-321.95896745777355,-380.09732867241934,-387.3156308232292,-480.17898089689226,-536.4406429564957
OOS,GIGGLEUSDT,2025-12-18 17:17:00+00:00,1,103.94081728955601,114.19959819598986,108.94285333355577,149.38452473947325,117.70712791667535,86.22651906377908,107.19181704558665
OOS,ASTERUSDT,2026-01-19 00:01:00+00:00,1,468.105505964907,-190.69995013214265,-187.5962236044736,-164.2556400897654,-304.17604682277045,-23.45597753847011,517.8305493167824
