name,N,lbs,kind,hl,band,sharpe_is,sharpe_oos,cagr_is,cagr_oos,vol_is,vol_oos,maxdd_close_is,maxdd_close_oos,gross_is,turnover_is,cost_is,fund_is,cost_oos,fund_oos,sharpe_is_precost,sharpe_oos_precost,sum_2022,sum_2023,sum_2024,sum_2025,sum_2026
N30_long_sign_hl20_b0.5,30,long,sign,20,0.5,0.1976227334013288,0.7275246259810022,0.01978290417381423,0.12421015401556579,0.1970476702458511,0.18409509556877346,0.3262488124587267,0.13933516067624752,0.45305326865960144,42.488227783200294,0.042563028850905515,-0.011742256538708251,0.038606350393992864,-0.002053017724415361,0.4135676756150783,0.9357118491626137,0.09806936021535421,-0.02085034352972667,0.03971096887044446,0.09838879773290392,0.12471174761929932
N20_all_z_hl20_b0.5,20,all,z,20,0.5,0.19473117132502832,0.5891395765783404,0.019205749921799686,0.09806507006745258,0.19648236997864466,0.1890253051208493,0.2566832190312168,0.16619456178204606,0.4158572199266992,36.22870020063813,0.03144644533235411,-0.014758883947952077,0.03062633083010962,0.000944668542443198,0.35468239961643644,0.7503686250998338,0.04358890090652644,0.14974343763772086,-0.07844378707158343,0.06599174107911265,0.11951037190353171
N20_short_z_hl20_b0.0,20,short,z,20,0.0,0.18495189057844122,0.6495434283091416,0.017016777575851405,0.11256046724491608,0.2078173468113076,0.19258145373466282,0.2602145532021021,0.13927534681980425,0.41374940449157593,62.338724910677634,0.05440693132630652,-0.012702197096555084,0.05319869544061394,-0.0015337531073672985,0.44657458969504354,0.9249415113657263,0.004772966953200084,0.12421508498619617,-0.013574113687969817,0.027943304092841438,0.1804258212607019
N30_long_sign_hl60_b0.5,30,long,sign,60,0.5,0.17938118511650117,0.5951494091431,0.01609870185075013,0.0995083953539897,0.19828598037253983,0.18943444546389962,0.3364108527404459,0.17829973925327025,0.45851573729594114,42.31397637412122,0.04238183889741004,-0.010701034460283969,0.03768521945881522,0.0003447206983677149,0.3930520733113772,0.7931460500761193,0.05597754445091163,-0.01626266705142071,0.06708889375045422,0.04820495146112139,0.13959508514114688
N40_short_sign_hl20_b0.5,40,short,sign,20,0.5,0.17805388568641706,0.191268616015311,0.01560469832307887,0.01855713765721534,0.2062829892612761,0.18594428117090128,0.280516010262856,0.16376598782913632,0.4583055833389932,75.3830736121294,0.08113392776457759,-0.013283140482382733,0.07991849324535136,-0.0132160819217864,0.5715928079891762,0.620081337829397,0.06580485237980069,0.07585731987799153,-0.03137308015718484,0.10614435729800056,-0.04690132816968205
N40_long_sign_hl60_b0.0,40,long,sign,60,0.0,0.17115760851014694,0.5984436270911095,0.014331420133320005,0.10045275185626679,0.2019744552004112,0.18997580763540625,0.33605963697775965,0.15399667780098636,0.47233673106988355,56.37255979095852,0.06080048014005849,-0.011931201585909226,0.058326120666958345,0.006180466372776896,0.47206696414768234,0.9041601261143081,0.032219544426676315,-0.00713228328681001,0.07871584391914037,0.096518746491157,0.09286044616523863
N30_long_z_hl20_b0.5,30,long,z,20,0.5,0.16588656937605942,0.6055266588990726,0.013453436396769991,0.0964926648599278,0.19578374764784476,0.17825806631663343,0.3147102316815361,0.13709050578279935,0.40118204631052895,22.0999461904532,0.0220711358508499,-0.01337612793240759,0.019095141174495123,0.007119076221901156,0.27859499822121814,0.7120818015048205,0.10298330209224016,-0.043951049221600924,0.038490410372183904,0.10486765809075296,0.07493378542064542
N30_short_sign_hl60_b0.0,30,short,sign,60,0.0,0.15978361991772302,0.2771691335839154,0.011762145363309662,0.035487950818387626,0.20700280561060622,0.19179783529830108,0.26809150698728534,0.1711507897058433,0.4624376696195491,90.13201974031031,0.09069973126411662,-0.0111809129283221,0.09292509342312105,-0.01052091789371325,0.5979162750495994,0.7605226789207838,0.009508456795776636,0.1504565190807915,-0.060647384795768755,0.04526640541477909,0.043285779293175904
N40_long_sign_hl20_b0.5,40,long,sign,20,0.5,0.15729759542435753,0.8013993162834597,0.011697027794921988,0.1392352579916718,0.1972688581413531,0.18356166278846406,0.3311778156702182,0.11019286465520117,0.4549623954278365,41.96938742321561,0.04508338758286599,-0.01305019746807282,0.0427107924113211,-0.005620016940001585,0.38573054808565643,1.0329112063784829,0.03339924576952351,-0.013059651662415824,0.0728351704774592,0.14737277527405795,0.09766986626335107
N30_long_sign_hl60_b0.0,30,long,sign,60,0.0,0.15649916489379728,0.6244400215904957,0.011380903579292445,0.10657746608992102,0.20092276214928537,0.19140734281344615,0.3342690726743439,0.1639315224468143,0.4715991684719727,57.202421194016054,0.05757619582250752,-0.010465041401044092,0.052635947305708704,0.009519410089541963,0.442955239341994,0.8982070571546369,0.06179676835365247,-0.009094824798843446,0.04171693851377179,0.07308888007813881,0.126005975838674
