mod,L,start,strategy,k_dl,risk_mode,H,th_in,th_out,K,universe,balance,R,delta,cagr,maxdd,worst_day,sharpe,liq,cuts,entries,funding,costs,y2025,y2026,period
exSAND,1.0,2025-01-01,,3.0,,720,0.1,0.05,2,all,False,4,0.25,0.015637366836410038,-0.020254035838537465,-0.002537515881228636,1.4529797963451787,0,1,5,0.040374383912063945,0.009788376152715045,-0.0005605154845220728,0.026740701732690386,OOS
exAXS,1.0,2025-01-01,,3.0,,720,0.1,0.05,2,all,False,4,0.25,0.005532860680206975,-0.019250525400561158,-0.0005978318081024669,2.2964142279804145,0,0,3,0.014622907005175,0.004573439146330897,0.001463403644292649,0.007752248722775912,OOS
exGALA,1.0,2025-01-01,,3.0,,720,0.1,0.05,2,all,False,4,0.25,0.015637366836410038,-0.020254035838537465,-0.002537515881228636,1.4529797963451787,0,1,5,0.040374383912063945,0.009788376152715045,-0.0005605154845220728,0.026740701732690386,OOS
exXLM,1.0,2025-01-01,,3.0,,720,0.1,0.05,2,all,False,4,0.25,0.015637366836410038,-0.020254035838537465,-0.002537515881228636,1.4529797963451787,0,1,5,0.040374383912063945,0.009788376152715045,-0.0005605154845220728,0.026740701732690386,OOS
exAPT,1.0,2025-01-01,,3.0,,720,0.1,0.05,2,all,False,4,0.25,0.015103691236216132,-0.01916144721822266,-0.002492666941521171,1.3907339264918364,0,1,4,0.03681492699336653,0.008036504607126948,-0.0030377096189168062,0.028391737806267026,OOS
exARB,1.0,2025-01-01,,3.0,,720,0.1,0.05,2,all,False,4,0.25,0.015637366836410038,-0.020254035838537465,-0.002537515881228636,1.4529797963451787,0,1,5,0.040374383912063945,0.009788376152715045,-0.0005605154845220728,0.026740701732690386,OOS
exOP,1.0,2025-01-01,,3.0,,720,0.1,0.05,2,all,False,4,0.25,0.015637366836410038,-0.020254035838537465,-0.002537515881228636,1.4529797963451787,0,1,5,0.040374383912063945,0.009788376152715045,-0.0005605154845220728,0.026740701732690386,OOS
exSUI,1.0,2025-01-01,,3.0,,720,0.1,0.05,2,all,False,4,0.25,0.015637366836410038,-0.020254035838537465,-0.002537515881228636,1.4529797963451787,0,1,5,0.040374383912063945,0.009788376152715045,-0.0005605154845220728,0.026740701732690386,OOS
exINJ,1.0,2025-01-01,,3.0,,720,0.1,0.05,2,all,False,4,0.25,0.015637366836410038,-0.020254035838537465,-0.002537515881228636,1.4529797963451787,0,1,5,0.040374383912063945,0.009788376152715045,-0.0005605154845220728,0.026740701732690386,OOS
exSHIB,1.0,2025-01-01,,3.0,,720,0.1,0.05,2,all,False,4,0.25,0.015637366836410038,-0.020254035838537465,-0.002537515881228636,1.4529797963451787,0,1,5,0.040374383912063945,0.009788376152715045,-0.0005605154845220728,0.026740701732690386,OOS
exPEPE,1.0,2025-01-01,,3.0,,720,0.1,0.05,2,all,False,4,0.25,0.015637366836410038,-0.020254035838537465,-0.002537515881228636,1.4529797963451787,0,1,5,0.040374383912063945,0.009788376152715045,-0.0005605154845220728,0.026740701732690386,OOS
exWIF,1.0,2025-01-01,,3.0,,720,0.1,0.05,2,all,False,4,0.25,0.015637366836410038,-0.020254035838537465,-0.002537515881228636,1.4529797963451787,0,1,5,0.040374383912063945,0.009788376152715045,-0.0005605154845220728,0.026740701732690386,OOS
