check,L,cagr_IS,cagr_OOS,maxdd_IS,maxdd_OOS,worst_day_IS,worst_day_OOS,sharpe_OOS,liq_IS,liq_OOS,y2022,y2023,y2024,y2025,y2026,note
funding|hourly|exAXS,15.0,-0.1713998784086007,-0.0780994184751424,-0.4846442820996304,-0.2164261521887686,-0.1822153081870843,-0.1319141258718895,-0.7130907199502754,3.0,1.0,-0.0341883057502918,-0.03091782057946,-0.3922224629839543,0.0039728909153029,-0.1300572432214924,
funding|hourly|exAXS,20.0,-0.6093747628194115,-0.1970769481389671,-0.9435524243443754,-0.400171854042253,-0.3311834880361772,-0.1820725192450836,-1.1848284817417374,13.0,3.0,-0.3045600492030954,-0.0999250471511223,-0.9048176840457204,0.0051671878870702,-0.309632017380141,
funding|intrabar|base,1.0,0.0179914255482189,0.01563736683641,-0.0197212435803739,-0.0202540358385374,-0.0010098494156025,-0.0025375158812286,1.4529797963451787,0.0,0.0,0.0351707949465669,0.0056465464118808,0.0133944394398197,-0.000560515484522,0.0267407017326903,
funding|intrabar|base,3.0,0.0495099344908189,0.0081047019055757,-0.0786088089751309,-0.0154007639089779,-0.0138989741094044,-0.0042846914422665,1.387526547818047,0.0,0.0,0.0829771098837637,0.0280010763575226,0.0383801871093374,0.0084945280114596,0.0049905767203499,
funding|intrabar|base,5.0,0.0638864843892854,0.0430186369164151,-0.0433958976710793,-0.0189559435916838,-0.0216848069439191,-0.0091715559604668,1.3059288918712733,0.0,0.0,0.1471626591361421,-0.0009140187587269,0.0506795573061948,-0.0028371885006878,0.0756801346057498,
funding|intrabar|base,10.0,-0.0165172961253164,0.0266492415418431,-0.2746740266862989,-0.1232433197440432,-0.0994360668425335,-0.0383006428900488,0.4598024982846423,0.0,0.0,-0.1269646385831208,0.0099666837934639,0.0788423739793731,0.002648593943535,0.0419925539745762,
funding|intrabar|base,15.0,-0.1115685068180697,0.0386990703350009,-0.3337876037749513,-0.1776064475233164,-0.1222806396922477,-0.0383714294727274,0.5114029601043086,0.0,0.0,-0.2142785886521933,-0.0316301188410447,-0.0784083600970755,0.0039728909153029,0.0610285257749374,
funding|intrabar|base,20.0,-0.2481329407256839,-0.0132169367899042,-0.5870783679772726,-0.2776383349506327,-0.1309530018997577,-0.0513138046415102,-0.0902920730855003,0.0,0.0,-0.287313042512386,-0.1152017779264941,-0.3260563370752799,0.0051671878870702,-0.0269323390663565,
funding|intrabar|exAXS,1.0,0.0185939327958215,0.0055328606802069,-0.0197212435803739,-0.0192505254005611,-0.0010098494156025,-0.0005978318081024,2.2964142279804145,0.0,0.0,0.0351707949465669,0.0074686622639015,0.0133590481804319,0.0014634036442926,0.0077522487227759,
funding|intrabar|exAXS,3.0,0.0495099344908189,0.0081047019055757,-0.0786088089751309,-0.0154007639089779,-0.0138989741094044,-0.0042846914422665,1.387526547818047,0.0,0.0,0.0829771098837637,0.0280010763575226,0.0383801871093374,0.0084945280114596,0.0049905767203499,
funding|intrabar|exAXS,5.0,0.0529958565831851,0.0037969119184069,-0.0434014804958917,-0.0130239796865179,-0.0122001932527038,-0.0064966494134304,0.476228026342941,0.0,0.0,0.1080816463046345,0.0030440080931994,0.0505058438583612,0.0023103358345681,0.004008764170873,
funding|intrabar|exAXS,10.0,0.0267678738927694,-0.0153871134271702,-0.1940192810024382,-0.0930204090485804,-0.0235773398949478,-0.0236208626583553,-0.5973680247215435,0.0,0.0,-0.0168378645110268,-0.0023976332761325,0.1036705040259164,0.002648593943535,-0.0280566827861948,
