mod,L,start,strategy,k_dl,risk_mode,H,th_in,th_out,K,universe,balance,R,delta,cagr,maxdd,worst_day,sharpe,liq,cuts,entries,funding,costs,y2022,y2023,y2024,y2025,y2026,period
base,3.0,2022-01-01,,3.0,,336.0,0.05,0.0125,4,majors,False,4,0.5,0.049509934490818974,-0.0786088089751309,-0.013898974109404438,1.8479960932082515,0,2,58,0.2087785581321826,0.09238548420098339,0.08297710988376372,0.028001076357522692,0.03838018710933744,,,IS
base,3.0,2025-01-01,,3.0,,336.0,0.05,0.0125,4,majors,False,4,0.5,0.008104701905575773,-0.015400763908977932,-0.004284691442266508,1.387526547818047,0,0,16,0.03749407823498576,0.01863205771559488,,,,0.008494528011459668,0.004990576720349971,OOS
exAXS,3.0,2022-01-01,,3.0,,336.0,0.05,0.0125,4,majors,False,4,0.5,0.049509934490818974,-0.0786088089751309,-0.013898974109404438,1.8479960932082515,0,2,58,0.2087785581321826,0.09238548420098339,0.08297710988376372,0.028001076357522692,0.03838018710933744,,,IS
exAXS,3.0,2025-01-01,,3.0,,336.0,0.05,0.0125,4,majors,False,4,0.5,0.008104701905575773,-0.015400763908977932,-0.004284691442266508,1.387526547818047,0,0,16,0.03749407823498576,0.01863205771559488,,,,0.008494528011459668,0.004990576720349971,OOS
lag8,3.0,2022-01-01,,3.0,,336.0,0.05,0.0125,4,majors,False,4,0.5,0.04222208755215706,-0.06760715753433544,-0.04382937148183941,1.1310588843154725,0,3,58,0.20316642826789735,0.09465368051113995,0.0586153359877033,0.03304000705211796,0.03522247729872552,,,IS
lag8,3.0,2025-01-01,,3.0,,336.0,0.05,0.0125,4,majors,False,4,0.5,0.009881551935793542,-0.015358507155927459,-0.0014014826500104993,2.02867113017246,0,0,16,0.03690380801152945,0.017880700944770612,,,,0.011757273020958747,0.004690496944341982,OOS
lag24,3.0,2022-01-01,,3.0,,336.0,0.05,0.0125,4,majors,False,4,0.5,0.026902595341192548,-0.08263425461580987,-0.022996571946132804,1.5844947664319182,0,2,55,0.19326817410468572,0.08595645123966383,0.05157482498826815,0.027568698664267588,0.002171318328310079,,,IS
lag24,3.0,2025-01-01,,3.0,,336.0,0.05,0.0125,4,majors,False,4,0.5,0.009606995109548988,-0.015520766732715408,-0.0014057243202365566,2.0616293876428817,0,0,16,0.03645559173723683,0.01781648176587801,,,,0.01180826950613767,0.0041852414964229645,OOS
exAXS+lag8,3.0,2022-01-01,,3.0,,336.0,0.05,0.0125,4,majors,False,4,0.5,0.04222208755215706,-0.06760715753433544,-0.04382937148183941,1.1310588843154725,0,3,58,0.20316642826789735,0.09465368051113995,0.0586153359877033,0.03304000705211796,0.03522247729872552,,,IS
exAXS+lag8,3.0,2025-01-01,,3.0,,336.0,0.05,0.0125,4,majors,False,4,0.5,0.009881551935793542,-0.015358507155927459,-0.0014014826500104993,2.02867113017246,0,0,16,0.03690380801152945,0.017880700944770612,,,,0.011757273020958747,0.004690496944341982,OOS
base,3.0,2022-01-01,,3.0,hourly,336.0,0.05,0.0125,4,majors,False,4,0.5,0.03942002916317966,-0.0786088089751309,-0.013898974109404438,2.093048775045035,0,0,58,0.20780877501245704,0.0872587068497778,0.08297710988376372,0.028001076357522692,0.008714027205347197,,,IS
