sym,other,lag,year,cc,n
AVAXUSDT,spot,-1,2024,-0.004296159686479582,55611
AVAXUSDT,spot,-1,2025,0.41984892753987557,57607
AVAXUSDT,spot,-1,2026,0.013718641683222265,45010
AVAXUSDT,spot,0,2022,0.9711443514640038,76673
AVAXUSDT,spot,0,2023,0.9429770487134288,66687
AVAXUSDT,spot,0,2024,0.9789660039579202,55800
AVAXUSDT,spot,0,2025,0.9387364036765418,57805
AVAXUSDT,spot,0,2026,0.9826459285282041,45162
AVAXUSDT,spot,1,2022,0.011178973923780401,76425
AVAXUSDT,spot,1,2023,0.033058708848305966,66469
AVAXUSDT,spot,1,2024,0.020552183966018194,55610
AVAXUSDT,spot,1,2025,0.3749975246969314,57607
AVAXUSDT,spot,1,2026,0.033805464651390615,45010
AVAXUSDT,spot,2,2022,-0.02575457754585963,76177
AVAXUSDT,spot,2,2023,-0.007027611837532914,66251
AVAXUSDT,spot,2,2024,-0.0133427735855791,55420
AVAXUSDT,spot,2,2025,0.020942728467859405,57409
AVAXUSDT,spot,2,2026,-0.04286721501743519,44858
WIFUSDT,bin,-2,2024,0.014301457481027713,88099
WIFUSDT,bin,-2,2025,0.19243893442062066,100017
WIFUSDT,bin,-2,2026,-0.012048189745006701,72130
WIFUSDT,bin,-1,2024,-0.01830656220726518,88344
WIFUSDT,bin,-1,2025,0.2549092703247557,100317
WIFUSDT,bin,-1,2026,-0.002555341416082149,72318
WIFUSDT,bin,0,2024,0.989387526030925,88589
WIFUSDT,bin,0,2025,0.9658768984180429,100617
WIFUSDT,bin,0,2026,0.9690807336752791,72506
WIFUSDT,bin,1,2024,-0.02312680119453346,88344
WIFUSDT,bin,1,2025,0.23889075061804743,100317
WIFUSDT,bin,1,2026,-0.007734232028394386,72318
WIFUSDT,bin,2,2024,0.011415106323045657,88099
WIFUSDT,bin,2,2025,0.1769612351518725,100017
WIFUSDT,bin,2,2026,-0.00830651925035984,72130
WIFUSDT,spot,-2,2024,0.012361815455103562,88099
WIFUSDT,spot,-2,2025,0.2092648350998165,100017
WIFUSDT,spot,-2,2026,-0.014252806323040894,72130
WIFUSDT,spot,-1,2024,-0.01910742485164557,88344
WIFUSDT,spot,-1,2025,0.20578232085925222,100317
WIFUSDT,spot,-1,2026,-0.01245281731408455,72318
WIFUSDT,spot,0,2024,0.9433244770844881,88589
WIFUSDT,spot,0,2025,0.967349762993398,100617
WIFUSDT,spot,0,2026,0.8749945172700575,72506
WIFUSDT,spot,1,2024,0.020236945054427382,88344
WIFUSDT,spot,1,2025,0.2358667632998983,100317
WIFUSDT,spot,1,2026,0.08494923698897451,72318
WIFUSDT,spot,2,2024,0.008119551496518955,88099
WIFUSDT,spot,2,2025,0.19874589436242002,100017
WIFUSDT,spot,2,2026,-0.00026915046292816136,72130
1000PEPEUSDT,bin,-2,2023,-0.02167296263752009,68708
1000PEPEUSDT,bin,-2,2024,-0.04473337546167685,87699
1000PEPEUSDT,bin,-2,2025,0.09935483840714154,72479
1000PEPEUSDT,bin,-2,2026,-0.023405608944020165,52443
1000PEPEUSDT,bin,-1,2023,-0.006838922967773054,68924
1000PEPEUSDT,bin,-1,2024,-0.036738195111817015,87977
1000PEPEUSDT,bin,-1,2025,0.2529208429165335,72718
1000PEPEUSDT,bin,-1,2026,-0.027762624885013604,52611
1000PEPEUSDT,bin,0,2023,0.9726517786959087,69140
1000PEPEUSDT,bin,0,2024,0.992081750297152,88255
1000PEPEUSDT,bin,0,2025,0.9833191045002735,72957
1000PEPEUSDT,bin,0,2026,0.9913653006515939,52779
1000PEPEUSDT,bin,1,2023,-0.007356673439829904,68925
1000PEPEUSDT,bin,1,2024,-0.029177012497001498,87976
1000PEPEUSDT,bin,1,2025,0.2457436993666732,72718
1000PEPEUSDT,bin,1,2026,-0.027186664406748228,52611
1000PEPEUSDT,bin,2,2023,-0.021786926503852635,68710
1000PEPEUSDT,bin,2,2024,-0.04884949988234305,87697
1000PEPEUSDT,bin,2,2025,0.10781082914652389,72479
1000PEPEUSDT,bin,2,2026,-0.016965407929744415,52443
1000PEPEUSDT,spot,-2,2023,-0.02267906416528591,68708
1000PEPEUSDT,spot,-2,2024,-0.04973232427625906,87699
1000PEPEUSDT,spot,-2,2025,0.10152169133760978,72479
