coin,yr,days,mean,meanabs,cap7,fb,fo
OP,2022,214,-0.043996509330126284,0.10486721440784161,0.02656106612652998,0.02861202593457945,-0.015555044143210389
OP,2023,365,-0.009671399150369304,0.0706988985766949,0.015141464747762302,0.09198619000000002,0.0823147908496307
OP,2024,366,-0.020527791008909224,0.06124705868232741,0.03288574850127731,0.15952675040983608,0.13899895940092685
OP,2025,365,0.011888403765873301,0.045251713471976304,0.029044223266270697,0.031821760000000004,0.043710163765873306
OP,2026,244,0.03327884462848703,0.06917391726958728,0.021546268154974933,-0.007059219672131141,0.02621962495635589
SUI,2023,241,-0.007671937308861418,0.07464227218965833,0.014232000219795564,0.04351863195020747,0.04069275874922986
SUI,2024,366,-0.022875221469504922,0.06947916099503158,0.03970866773810265,0.10262658128415302,0.07975135981464809
SUI,2025,365,-5.976792243830029e-05,0.0339135411323519,0.0025590846927739004,0.03373881,0.033679042077561706
SUI,2026,244,0.018340810189695588,0.03016795672042611,0.015737694710687547,0.024185184221311478,0.042525994411007066
INJ,2023,31,0.10952120812239557,0.15604101562932265,0.023603780494215888,-1.3889847758064513,0.4380154387675569
INJ,2024,366,-0.011037258013466212,0.07568566536379134,0.04735690508802556,0.144494843715847,0.13345758570238078
INJ,2025,365,0.026948725873240195,0.0561725096780202,0.032676849491882,0.007671760000000001,0.03462048587324021
INJ,2026,244,0.051851610036562225,0.07512259879375467,0.04349939554630379,-0.1490377274590164,-0.09718611742245414
SHIB,2022,362,0.016035717700308993,0.11212715129771882,0.05191669795386989,-8.413149171270079e-05,0.016205609870474962
SHIB,2023,365,-0.007495603506278001,0.09241311411698641,0.015382558683035199,0.10316267000000001,0.09566706649372202
SHIB,2024,366,-0.018352655116714394,0.06197581212362293,0.03356704452704515,0.13271979412568308,0.11436713900896867
SHIB,2025,365,0.021219525492354,0.0406131905451938,0.025845848714176698,0.0001911400000000048,0.021410665492354007
SHIB,2026,244,0.027170571508636134,0.04473442096566672,0.027841526863382614,-0.011513117213114755,0.01565745429552138
PEPE,2023,241,-0.0024064084318007393,0.11329279594517916,0.01696437588816977,0.10123332551867223,0.04821830151103078
PEPE,2024,366,-0.04274756702008447,0.09972481631636872,0.051540146642550445,0.20052608346994535,0.1577785164498609
PEPE,2025,365,0.011222828448395901,0.0363563243994955,0.0102992048627507,0.03829575000000001,0.0495185784483959
PEPE,2026,244,0.03000537226758385,0.060248635805018505,0.03365692459488136,-0.02040288668032787,0.009602485587255991
WIF,2024,261,0.00011304093622841835,0.06191093364107116,0.009611296300753143,0.4413834940613026,0.11841819744963838
WIF,2025,365,0.023838104725830003,0.052165744161858596,0.017550956532410997,0.008941260000000006,0.03277936472583
WIF,2026,244,0.05011960733028544,0.06929656731654663,0.044651530163501686,-0.05391042520491804,-0.0037908178746325853
LDO,2023,333,-0.00901727953977262,0.08673767376000203,0.03897627677084535,0.07709428063063065,0.09557786580557272
LDO,2024,366,-0.018839656981986218,0.0777934912504692,0.035099449995625656,0.1752212118852459,0.1563815549032597
LDO,2025,365,-0.0021255172597028004,0.0362416695521532,0.017410293497802397,0.05816468,0.0560391627402972
LDO,2026,244,0.021248261546886298,0.0445706266743216,0.018522953763241024,0.03151840819672131,0.05276666974360762
TIA,2023,61,-0.07058811753122854,0.17299418396737803,0.07875322140533117,0.33016493852459017,0.24839645214090264
TIA,2024,366,-0.012462042824581552,0.1451214757044486,0.07716588974127296,-0.09683234590163935,-0.1092943887262209
TIA,2025,365,0.0374642179282302,0.0867427168600062,0.0462631779743724,-0.04262026000000001,-0.005156042071769791
TIA,2026,244,-0.014446220250605003,0.054558679346828676,0.01573444991415122,0.030033247131147543,0.01558702688054254
BNB,2023,365,-0.0239247765751713,0.09705193933747872,0.05838579442476179,-0.08345332999999999,-0.1102088140877365
BNB,2024,366,0.022318230795065407,0.0807368371754055,0.026419927875324118,-0.03322431448087433,-0.011765010929212427
BNB,2025,365,0.0201757785993007,0.045496704950861715,0.026618949195550606,-0.020849150000000004,0.0044963393015553035
BNB,2026,244,0.008300909708191244,0.03320552490898252,0.005086351829285008,0.027328552254098356,0.03848685661631946
APE,2022,289,-0.01632678179352673,0.11891229968829899,0.019919276677008473,-0.16318075207612456,-0.17287214961359593
APE,2023,365,0.016215044388033804,0.1225686962021724,0.025168955180765805,-0.18672157,-0.17050652561196622
APE,2024,366,-0.024672447170432484,0.08382383409600523,0.039964064507751834,0.10194437035519124,0.07727192318475877
APE,2025,365,0.0004395731048273,0.042081349627336305,0.0196153846429559,0.041048650000000006,0.041488223104827304
APE,2026,244,0.04306995455425,0.09513409073250288,0.06661644147378218,-0.12022314651639342,-0.07715319196214344
DYDX,2022,362,-0.04423544772468759,0.12023457149760271,0.04256538201148667,-0.05503505290055248,-0.09963338228825112
DYDX,2023,365,0.02117468226564509,0.09468094631202573,0.0477728378963171,0.10709044000000002,0.1282651222656451
DYDX,2024,366,-0.002359158403613966,0.0797559039464919,0.04125389044042308,0.15630625368852458,0.15394709528491063
DYDX,2025,365,-0.026494106033909302,0.052837629317146896,0.022289953773956303,0.06826884,0.0417747339660907
DYDX,2026,244,-0.03415056346585587,0.06651815527311285,0.03711364370984235,0.06060994036885248,0.026459376902996597
ORDI,2023,55,-0.047366059071078215,0.15681274134638565,0.04841680784015508,0.45896805545454544,0.8440403388062954
ORDI,2024,366,-0.041301008116932596,0.07873155524760578,0.03688375664233571,0.1901702057377049,0.14886919762077233
ORDI,2025,365,-0.0029966421857365,0.0411802466684017,0.0093852506398789,0.05597313000000001,0.052976487814263507
ORDI,2026,244,0.0010640173384873447,0.05267692835005252,0.01045843785324096,0.04388809364754099,0.04495211098602833
WLD,2023,160,0.011215298169179716,0.07882074209055945,0.027215317286207064,0.019509455312499986,0.03075792285667971
WLD,2024,366,0.014374969420714622,0.07742818599232248,0.0299217534083412,0.13097551297814208,0.1453504823988567
WLD,2025,365,0.006951433972366398,0.041417398268770805,0.0190710536420092,0.033026370000000006,0.0399778039723664
WLD,2026,244,0.03569574886349166,0.06484547984200241,0.03283567188126403,-0.07864070102459017,-0.042944952161098504
