sym,i,tranche,entry_t,entry_px,notional,E_before,exit_t,ret,reason,net
PUFFER-USDT-SWAP,55,1,25236,0.3767,0.04706602759799085,1.3709229523613173,25332,0.07406424210246876,end,0.0707651041814083
X-USDT-SWAP,56,0,25449,6.29e-05,0.13688849347373416,1.3760243238006464,25593,0.30063593004769473,end,0.3345647513994576
X-USDT-SWAP,56,1,25497,5.84e-05,0.1388752631790196,1.38846099373752,25593,0.2467465753424658,end,0.26066779996743267
GRASS-USDT-SWAP,57,0,25526,1.0454,0.06363616240026894,1.42654749322161,25605,-0.5,stop,-0.5560401832038679
GRASS-USDT-SWAP,57,1,25574,0.9865,0.08597336742059634,1.4415021032206325,25605,-0.5895590471363408,stop,-0.6313150601005143
OL-USDT-SWAP,59,0,26121,0.092099,0.10422407138998631,1.4060523795065636,26187,-0.5,stop,-0.5380271982817845
OL-USDT-SWAP,59,1,26169,0.096883,0.10740035316124041,1.4052367925369216,26187,-0.4259312779331772,stop,-0.46712905309550734
DOG-USDT-SWAP,58,0,26046,0.00809,0.13686496187285874,1.3683622023086544,26190,0.15896168108776265,end,0.20496961689186174
DOG-USDT-SWAP,58,1,26094,0.007958,0.13815022742832972,1.3812121588056978,26190,0.14501130937421458,end,0.11482792737292084
MEMEFI-USDT-SWAP,60,0,26127,0.006585,0.05910356097152928,1.3991527531949872,26201,-0.5,stop,-0.5448683310576274
MEMEFI-USDT-SWAP,60,1,26175,0.005292,0.0942274279240943,1.429212676306937,26201,-0.8664965986394557,stop,-0.8856811414388924
MORPHO-USDT-SWAP,61,0,26194,0.9866,0.05871969724143914,1.232570331659543,26223,-0.5,stop,-0.4808222447746082
MAJOR-USDT-SWAP,62,0,26269,1.2333,0.06134768187269083,1.1622993900966456,26413,0.06689369982972515,end,0.13385879658684965
MAJOR-USDT-SWAP,62,1,26317,1.211,0.07982405144549705,1.1633775426125932,26413,0.04971098265895957,end,0.11463364133125786
SUNDOG-USDT-SWAP,64,0,26578,0.1528,0.11797906687804594,1.1795429127400154,26722,0.1688481675392669,end,0.20088439995064344
SUNDOG-USDT-SWAP,64,1,26626,0.1437,0.11876866320936094,1.1874372179008699,26722,0.116214335421016,end,0.13795587695335904
AI16Z-USDT-SWAP,65,0,26793,0.8122,0.0551263136316044,1.219759892665994,26937,-0.08138389559221859,end,-0.09591161040818934
AI16Z-USDT-SWAP,65,1,26841,0.5972,0.0777924408395339,1.2330718507986382,26937,-0.4706965840589419,end,-0.462710224249996
ZEREBRO-USDT-SWAP,67,0,26959,0.3135,0.11592170018571246,1.1781024715380735,27012,-0.5,stop,-0.4973019146542778
ZEREBRO-USDT-SWAP,67,1,27007,0.4043,0.07480379646782181,1.1432363410054653,27012,-0.1631214444719269,stop,-0.16798221632634802
GRIFFAIN-USDT-SWAP,66,0,26959,0.2295,0.11768550193669361,1.1783459071084634,27038,-0.5,stop,-0.4837915960560278
GRIFFAIN-USDT-SWAP,66,1,27007,0.2329,0.1075423575152276,1.1433934289780479,27038,-0.47810218978102204,stop,-0.4617885750604414
ALCH-USDT-SWAP,68,0,27127,0.1701,0.09545089715349844,1.001581719955679,27271,0.19223985890652562,end,0.1768484647668548
ALCH-USDT-SWAP,68,1,27175,0.1635,0.08364521129749572,1.0079969053363826,27271,0.15963302752293584,end,0.11454225358064112
DUCK-USDT-SWAP,69,0,27443,0.009927,0.051967428233561895,1.0281342908658686,27587,0.4256069305933313,end,0.4237199963693506
