i,sym,base,t0,bn_spot,okx_preMktSw,bybit_first,bybit_10th,bybit_file,gate_start,gate_name,gate_status,okx_spot_day,okx_spot_off,okx_spot_first
357,PUFFERUSDT,PUFFER,2025-06-04 08:00:00,,,2024-10-14 12:00:00.559,2024-10-14 12:00:00.589,PUFFERUSDT-2024-10.csv.gz,2024-10-14 12:00:00,Puffer,tradable,,,
362,RESOLVUSDT,RESOLV,2025-06-10 13:00:00,2025-06-11,,2025-06-10 13:00:00.403,2025-06-10 13:00:00.404,RESOLVUSDT-2025-06.csv.gz,2025-06-10 13:00:00,Resolv,tradable,2025-06-10,0.0,2025-06-10 14:00:00.814
366,SPKUSDT,SPK,2025-06-17 09:00:00,2025-06-17,,2025-06-17 09:00:06.320,2025-06-17 09:00:10.401,SPKUSDT-2025-06.csv.gz,2025-06-17 09:00:00,Spark,tradable,2025-06-17,0.0,2025-06-17 10:00:01.718
372,OLUSDT,OL,2025-06-25 11:00:00,,,2024-11-19 13:00:01.236,2024-11-19 13:00:01.240,OLUSDT-2024-11.csv.gz,2024-11-19 13:00:00,Open Loot,tradable,2025-06-22,-3.0,
373,SAHARAUSDT,SAHARA,2025-06-26 12:00:00,2025-06-26,,2025-06-26 12:00:00.949,2025-06-26 12:00:00.949,SAHARAUSDT-2025-06.csv.gz,2025-06-26 12:00:00,Sahara AI,tradable,2025-06-26,0.0,2025-06-26 12:00:00.263
390,TREEUSDT,TREE,2025-07-29 14:00:00,2025-07-29,,2025-07-29 14:00:01.444,2025-07-29 14:00:03.912,TREEUSDT-2025-07.csv.gz,2025-07-29 14:00:00,Treehouse,tradable,,,
402,USELESSUSDT,USELESS,2025-08-15 12:00:00,,,,,,2025-07-11 10:00:00,Useless Coin,tradable,,,
407,WLFIUSDT,WLFI,2025-08-23 08:00:00,2025-09-01,2025-09-01 13:30:00,2025-09-01 13:00:00.390,2025-09-01 13:00:00.516,WLFIUSDT-2025-09.csv.gz,2025-09-01 12:00:00,World Liberty Financial,tradable,2025-09-01,9.0,2025-09-01 13:00:00.113
413,LINEAUSDT,LINEA,2025-09-01 08:00:00,2025-09-10,2025-09-10 15:35:00,2025-09-10 15:00:00.724,2025-09-10 15:00:00.860,LINEAUSDT-2025-09.csv.gz,2025-09-10 15:00:00,Linea,tradable,2025-09-10,9.0,2025-09-10 15:15:00.338
430,BARDUSDT,BARD,2025-09-18 11:00:00,2025-09-18,,2025-09-18 11:00:00.577,2025-09-18 11:00:00.659,BARDUSDT-2025-09.csv.gz,2025-09-18 11:00:00,Lombard,tradable,2025-09-18,0.0,2025-09-18 11:30:00.135
441,XANUSDT,XAN,2025-09-29 10:00:00,,,2025-09-29 10:00:00.432,2025-09-29 10:00:00.435,XANUSDT-2025-09.csv.gz,2025-09-29 10:00:00,Anoma,tradable,,,
443,EDENUSDT,EDEN,2025-09-30 11:00:00,2025-09-30,,,,,2025-09-30 11:00:00,OpenEden,tradable,,,
447,2ZUSDT,2Z,2025-10-02 12:00:00,2025-10-02,,2025-10-02 13:00:00.469,2025-10-02 13:00:01.223,2ZUSDT-2025-10.csv.gz,2025-10-02 13:00:00,DoubleZero,tradable,2025-11-14,43.0,2025-11-14 09:00:00.075
453,MONUSDT,MON,2025-10-10 07:00:00,,2025-11-24 16:05:00,2024-05-27 06:04:48.891,2024-05-27 10:00:00.936,MONUSDT-2024-05.csv.gz,2025-11-24 15:00:00,Monad,tradable,2026-03-23,164.0,2026-03-23 11:00:02.177
454,YBUSDT,YB,2025-10-10 14:00:00,2025-10-15,2025-10-15 11:30:00,2025-10-15 11:00:00.769,2025-10-15 11:00:03.780,YBUSDT-2025-10.csv.gz,2025-10-15 11:00:00,Yieldbasis,tradable,2025-10-15,5.0,2025-10-15 11:00:00.370
455,METUSDT,MET,2025-10-11 12:00:00,2025-11-13,2025-10-23 14:30:00,2025-10-23 14:00:00.700,2025-10-23 14:00:04.691,METUSDT-2025-10.csv.gz,2025-10-23 14:00:00,Meteora,tradable,2025-10-23,12.0,2025-10-23 14:00:00.088
460,ZBTUSDT,ZBT,2025-10-17 11:00:00,2025-10-17,2025-10-17 13:30:00,2025-10-17 13:00:00.723,2025-10-17 13:00:07.870,ZBTUSDT-2025-10.csv.gz,2025-10-17 13:00:00,ZEROBASE,tradable,,,
465,BLUAIUSDT,BLUAI,2025-10-21 11:00:00,,,,,,2025-10-21 12:00:00,Bluwhale AI,tradable,,,
466,TURTLEUSDT,TURTLE,2025-10-22 15:00:00,2025-10-22,,,,,2025-10-22 15:00:00,Turtle,tradable,,,
467,APRUSDT,APR,2025-10-23 10:00:00,,,,,,,,,,,
472,ATUSDT,AT,2025-10-29 11:00:00,2025-11-27,,,,,2025-10-24 12:00:00,APRO Token,tradable,,,
471,KITEUSDT,KITE,2025-10-29 10:00:00,2025-11-03,,,,,2025-11-03 13:00:00,KITE,tradable,2025-11-03,5.0,2025-11-03 13:00:01.422
473,CCUSDT,CC,2025-10-31 12:00:00,,,2025-11-10 07:00:00.925,2025-11-10 07:00:03.616,CCUSDT-2025-11.csv.gz,2025-11-10 07:00:00,Canton Network,tradable,2026-02-12,104.0,2026-02-12 10:00:00.783
474,MMTUSDT,MMT,2025-11-04 12:00:00,2025-11-04,,2025-11-04 12:00:02.977,2025-11-04 12:00:09.332,MMTUSDT-2025-11.csv.gz,2025-11-04 12:00:00,Momentum,tradable,2025-11-04,0.0,2025-11-04 12:00:01.267
475,TRUSTUSDT,TRUST,2025-11-05 09:00:00,,,,,,2025-11-05 10:00:00,Intuition,tradable,,,
480,ALLOUSDT,ALLO,2025-11-11 14:00:00,2025-11-11,,,,,2025-11-11 13:00:00,Allora,tradable,2025-11-11,0.0,2025-11-11 13:00:01.534
482,BEATUSDT,BEAT,2025-11-12 12:00:00,,,,,,2025-11-01 10:00:00,Audiera,tradable,,,
483,PIEVERSEUSDT,PIEVERSE,2025-11-14 11:00:00,,,2025-11-14 13:00:00.609,2025-11-14 13:00:11.658,PIEVERSEUSDT-2025-11.csv.gz,2025-11-14 13:00:00,Pieverse,tradable,,,
484,SENTUSDT,SENT,2025-11-14 12:00:00,2026-01-22,2026-01-22 12:30:00,2026-01-22 12:00:02.761,2026-01-22 12:00:06.206,SENTUSDT-2026-01.csv.gz,2026-01-22 12:00:00,Sentient,tradable,2026-01-27,74.0,2026-01-27 12:00:00.887
487,RLSUSDT,RLS,2025-12-02 10:00:00,,,,,,2025-12-01 12:00:00,RAYLS,tradable,,,
490,NIGHTUSDT,NIGHT,2025-12-10 11:00:00,2026-03-11,,2025-12-09 10:00:00.743,2025-12-09 10:00:08.518,NIGHTUSDT-2025-12.csv.gz,2025-12-09 10:00:00,Midnight,tradable,2025-12-09,-1.0,2025-12-09 10:10:00.729
489,WETUSDT,WET,2025-12-10 07:00:00,,,2025-12-09 15:00:00.745,2025-12-09 15:00:04.417,WETUSDT-2025-12.csv.gz,2025-12-09 15:00:00,HumidiFi,tradable,2025-12-09,-1.0,2025-12-09 15:00:00.510
494,RAVEUSDT,RAVE,2025-12-14 15:00:00,,,,,,2025-12-12 14:00:00,RaveDAO,tradable,,,
