sym,base,t0_exact,okx_listTime_now,okx_preMktSw,okx_ruleType,bybit_first,bybit_10th,bybit_file,okx_spot_day,okx_spot_off,okx_spot_first,bn_spot_day,gate_start,gate_name,gate_status,okx_spot,g_okx_spot,g_bybit_10th,g_gate_start,g_bn_spot_day,g_okx_preMktSw,spot_min,gap_h,cls,newtok
MAX-USDT-SWAP,MAX,2024-08-06 08:30:41.320,,,,,,,2024-08-05,-1.0,2024-08-05 10:00:00.106,,2025-08-01 14:00:00,Mastercard xStock,tradable,2024-08-05 10:00:00.106,-22.5,,8645.5,,,2024-08-05 10:00:00.106,-22.5,okx_only,True
CAT-USDT-SWAP,CAT,2024-09-06 10:30:53.123,,,,2023-10-05 01:42:51.311,2023-10-05 10:00:04.048,CATUSDT-2023-10.csv.gz,2024-10-25,49.0,2024-10-25 11:00:00.288,,,,,2024-10-25 11:00:00.288,1176.5,-8088.5,,,,2023-10-05 10:00:04.048,-8088.5,okx_first,True
MOODENG-USDT-SWAP,MOODENG,2024-10-03 07:00:23.946,2024-10-03 07:00:02.849,,normal,,,,2024-11-15,43.0,2024-11-15 12:00:00.008,,2024-09-27 12:30:00,Moo Deng,tradable,2024-11-15 12:00:00.008,1037.0,,-138.5,,,2024-09-27 12:30:00.000,-138.5,okx_first,True
PUFFER-USDT-SWAP,PUFFER,2024-10-14 12:30:22.791,,,,2024-10-14 12:00:00.559,2024-10-14 12:00:00.589,PUFFERUSDT-2024-10.csv.gz,,,,,2024-10-14 12:00:00,Puffer,tradable,,,-0.5,-0.5,,,2024-10-14 12:00:00.000,-0.5,okx_first,True
X-USDT-SWAP,X,2024-10-25 09:30:59.750,,,,2024-10-24 12:00:00.563,2024-10-24 12:00:00.563,XUSDT-2024-10.csv.gz,2024-10-24,-1.0,2024-10-24 12:00:00.268,,,,,2024-10-24 12:00:00.268,-21.5,-21.5,,,,2024-10-24 12:00:00.268,-21.5,okx_only,True
GRASS-USDT-SWAP,GRASS,2024-10-28 14:30:18.199,2024-10-28 14:30:00.597,,normal,2024-10-28 14:00:00.673,2024-10-28 14:00:01.010,GRASSUSDT-2024-10.csv.gz,,,,,2024-10-28 14:00:00,Grass,tradable,,,-0.5,-0.5,,,2024-10-28 14:00:00.000,-0.5,okx_first,True
DOG-USDT-SWAP,DOG,2024-11-19 06:00:23.865,,,,,,,,,,,2024-04-25 12:00:00,Dog,tradable,,,,-4986.0,,,2024-04-25 12:00:00.000,-4986.0,okx_only,True
OL-USDT-SWAP,OL,2024-11-22 09:00:52.228,2025-10-29 10:15:00.938,,normal,2024-11-19 13:00:01.236,2024-11-19 13:00:01.240,OLUSDT-2024-11.csv.gz,2024-11-19,-3.0,,,2024-11-19 13:00:00,Open Loot,tradable,2024-11-18 16:00:00.000,-89.0,-68.0,-68.0,,,2024-11-18 16:00:00.000,-89.0,okx_first,True
MEMEFI-USDT-SWAP,MEMEFI,2024-11-22 15:00:45.522,,,,2024-11-22 13:00:00.509,2024-11-22 13:00:01.990,MEMEFIUSDT-2024-11.csv.gz,2024-11-22,0.0,2024-11-22 13:00:00.017,,,,,2024-11-22 13:00:00.017,-2.0,-2.0,,,,2024-11-22 13:00:00.017,-2.0,okx_first,True
MORPHO-USDT-SWAP,MORPHO,2024-11-25 10:01:21.218,2024-11-25 10:00:00.980,,normal,2024-11-21 10:00:01.958,2024-11-21 10:00:03.673,MORPHOUSDT-2024-11.csv.gz,2024-11-22,-3.0,,2025-10-03,2024-11-21 10:00:00,Morpho Labs,tradable,2024-11-21 16:00:00.000,-90.0,-96.0,-96.0,7478.0,,2024-11-21 10:00:00.000,-96.0,okx_first,True
