instId,groups,listTime,age_days,state,lever_inst,t1_mmr,t1_imr,t1_maxLever,t1_maxSz,ctVal,last,t1_cap_usdt,n_tiers,min_order_usdt,lot_usdt,max_mmr
CASHCAT-USDT-SWAP,new180,2026-09-03 03:30:00+00:00,21,live,20.0,0.02,0.05,20.0,10000.0,10.0,0.1602,16020.0,87,1.602,1.602,0.46
CBRS-USDT-SWAP,new180,2026-05-15 06:00:00+00:00,132,live,25.0,0.02,0.04,25.0,380.0,1.0,207.82,78971.59999999999,93,2.0782,2.0782,0.49
CC-USDT-SWAP,oos_traded,2025-10-31 14:00:00.291000+00:00,328,live,20.0,0.02,0.05,20.0,10000.0,10.0,0.1142,11420.0,87,1.142,1.142,0.46
CFX-USDT-SWAP,book,2021-03-12 09:00:00+00:00,2022,live,20.0,0.02,0.05,20.0,68000.0,10.0,0.05332,36257.6,87,0.5332,0.5332,0.46
CGNX-USDT-SWAP,new180,2026-06-12 09:45:00+00:00,104,live,10.0,0.035,0.1,10.0,25.0,1.0,58.05,1451.25,81,5.805,5.805,0.435
CHIP-USDT-SWAP,new180,2026-04-21 14:00:00+00:00,156,live,20.0,0.02,0.05,20.0,7800.0,100.0,0.0462,36036.0,87,4.62,4.62,0.46
CIEN-USDT-SWAP,new180,2026-06-11 09:15:00+00:00,105,live,20.0,0.02,0.05,20.0,10.0,1.0,362.34,3623.3999999999996,87,3.6233999999999997,3.6233999999999997,0.46
CNPY-USDT-SWAP,new180,2026-09-07 13:00:00+00:00,17,live,20.0,0.02,0.05,20.0,10000.0,10.0,0.4045,40450.0,87,4.045,4.045,0.46
COAI-USDT-SWAP,book,2025-10-15 14:30:01.123000+00:00,344,live,10.0,0.05,0.1,10.0,150000.0,0.1,0.319,4785.0,81,0.031900000000000005,0.031900000000000005,0.45
COHR-USDT-SWAP,new180,2026-05-13 10:00:00+00:00,134,live,25.0,0.02,0.04,25.0,160.0,1.0,294.82,47171.2,93,2.9482,2.9482,0.49
COST-USDT-SWAP,new180,2026-04-27 14:15:00+00:00,150,live,10.0,0.02,0.1,10.0,10.0,1.0,897.71,8977.1,87,0.89771,0.89771,0.46
CP-USDT-SWAP,new180,2026-09-02 15:40:00+00:00,22,live,20.0,0.02,0.05,20.0,7000.0,100.0,0.01291,9037.0,87,1.291,1.291,0.46
CRDO-USDT-SWAP,new180,2026-06-11 09:00:00+00:00,105,live,20.0,0.02,0.05,20.0,100.0,1.0,198.27,19827.0,87,1.9827000000000001,1.9827000000000001,0.46
